source_dataset_context,target_dataset_context,source_canonical_context,target_canonical_context,same_canonical_context,same_study,n_shared_perturbations,shared_fraction_source,shared_fraction_target,same_modality,same_or_similar_assay,source_dataset,target_dataset,source_assay_family,target_assay_family,notes
vcc2025_h1::H1,replogle2022::K562,H1,K562,False,False,136,0.9066666666666666,0.013779128672745694,True,False,vcc2025_h1,replogle2022,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,replogle2022::RPE1,H1,RPE1,False,False,50,0.3333333333333333,0.020894274968658588,True,False,vcc2025_h1,replogle2022,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,nadig2025::HepG2,H1,HepG2,False,False,50,0.3333333333333333,0.020894274968658588,True,False,vcc2025_h1,nadig2025,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,nadig2025::Jurkat,H1,Jurkat,False,False,50,0.3333333333333333,0.020894274968658588,True,False,vcc2025_h1,nadig2025,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,jiang2025::A549,H1,A549,False,False,15,0.1,0.06880733944954129,True,False,vcc2025_h1,jiang2025,unknown,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,jiang2025::MCF7,H1,MCF7,False,False,15,0.1,0.06880733944954129,True,False,vcc2025_h1,jiang2025,unknown,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,jiang2025::HT29,H1,HT29,False,False,15,0.1,0.06880733944954129,True,False,vcc2025_h1,jiang2025,unknown,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,jiang2025::HAP1,H1,HAP1,False,False,15,0.1,0.06880733944954129,True,False,vcc2025_h1,jiang2025,unknown,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,jiang2025::BxPC3,H1,BxPC3,False,False,15,0.1,0.06880733944954129,True,False,vcc2025_h1,jiang2025,unknown,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,jiang2025::K562,H1,K562,False,False,15,0.1,0.06880733944954129,True,False,vcc2025_h1,jiang2025,unknown,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,mcfaline2024::A172,H1,A172,False,False,13,0.08666666666666667,0.02490421455938697,True,False,vcc2025_h1,mcfaline2024,unknown,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,mcfaline2024::T98G,H1,T98G,False,False,13,0.08666666666666667,0.02490421455938697,True,False,vcc2025_h1,mcfaline2024,unknown,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,mcfaline2024::U87MG,H1,U87MG,False,False,13,0.08666666666666667,0.02490421455938697,True,False,vcc2025_h1,mcfaline2024,unknown,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,xatlas_orion::HCT116,H1,HCT116,False,False,149,0.9933333333333333,0.008145192150002733,True,False,vcc2025_h1,xatlas_orion,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,xatlas_orion::HEK293T,H1,HEK293T,False,False,149,0.9933333333333333,0.008137185298454482,True,False,vcc2025_h1,xatlas_orion,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,nourreddine2024::KOLF2.1J,H1,KOLF2.1J,False,False,146,0.9733333333333334,0.012492513048686574,True,False,vcc2025_h1,nourreddine2024,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
vcc2025_h1::H1,zhu2026::CD4T,H1,CD4T,False,False,142,0.9466666666666667,0.011154752553024352,True,False,vcc2025_h1,zhu2026,unknown,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,replogle2022::RPE1,K562,RPE1,False,True,2393,0.242451874366768,1.0,True,True,replogle2022,replogle2022,10x_Perturb-seq,10x_Perturb-seq,Within-study biological-context bridge.
replogle2022::K562,nadig2025::HepG2,K562,HepG2,False,False,2393,0.242451874366768,1.0,True,True,replogle2022,nadig2025,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,nadig2025::Jurkat,K562,Jurkat,False,False,2393,0.242451874366768,1.0,True,True,replogle2022,nadig2025,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,jiang2025::A549,K562,A549,False,False,187,0.01894630192502533,0.8577981651376146,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,jiang2025::MCF7,K562,MCF7,False,False,187,0.01894630192502533,0.8577981651376146,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,jiang2025::HT29,K562,HT29,False,False,187,0.01894630192502533,0.8577981651376146,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,jiang2025::HAP1,K562,HAP1,False,False,187,0.01894630192502533,0.8577981651376146,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,jiang2025::BxPC3,K562,BxPC3,False,False,187,0.01894630192502533,0.8577981651376146,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,jiang2025::K562,K562,K562,True,False,187,0.01894630192502533,0.8577981651376146,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Same named biological context; state and protocol equivalence not guaranteed.
replogle2022::K562,mcfaline2024::A172,K562,A172,False,False,294,0.029787234042553193,0.5632183908045977,True,False,replogle2022,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
replogle2022::K562,mcfaline2024::T98G,K562,T98G,False,False,294,0.029787234042553193,0.5632183908045977,True,False,replogle2022,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
replogle2022::K562,mcfaline2024::U87MG,K562,U87MG,False,False,294,0.029787234042553193,0.5632183908045977,True,False,replogle2022,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
replogle2022::K562,xatlas_orion::HCT116,K562,HCT116,False,False,9531,0.9656534954407295,0.5210189690045373,True,True,replogle2022,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
