canonical_context_id,vcc2025_h1,replogle2022,nadig2025,jiang2025,srivatsan2020,mcfaline2024,vcc2026,xatlas_orion,nourreddine2024,zhu2026
H1,1,0,0,0,0,0,0,0,0,0
K562,0,1,0,1,1,0,0,0,0,0
RPE1,0,1,0,0,0,0,0,0,0,0
HepG2,0,0,1,0,0,0,0,0,0,0
Jurkat,0,0,1,0,0,0,0,0,0,0
A549,0,0,0,1,1,0,0,0,0,0
MCF7,0,0,0,1,1,0,0,0,0,0
HT29,0,0,0,1,0,0,0,0,0,0
HAP1,0,0,0,1,0,0,0,0,0,0
BxPC3,0,0,0,1,0,0,0,0,0,0
A172,0,0,0,0,0,1,0,0,0,0
T98G,0,0,0,0,0,1,0,0,0,0
U87MG,0,0,0,0,0,1,0,0,0,0
VCC2026_A,0,0,0,0,0,0,1,0,0,0
VCC2026_B,0,0,0,0,0,0,1,0,0,0
VCC2026_C,0,0,0,0,0,0,1,0,0,0
HCT116,0,0,0,0,0,0,0,1,0,0
HEK293T,0,0,0,0,0,0,0,1,0,0
KOLF2.1J,0,0,0,0,0,0,0,0,1,0
CD4T,0,0,0,0,0,0,0,0,0,1
