dataset_context_id,vcc2025_h1::H1,replogle2022::K562,replogle2022::RPE1,nadig2025::HepG2,nadig2025::Jurkat,jiang2025::A549,jiang2025::MCF7,jiang2025::HT29,jiang2025::HAP1,jiang2025::BxPC3,jiang2025::K562,mcfaline2024::A172,mcfaline2024::T98G,mcfaline2024::U87MG,xatlas_orion::HCT116,xatlas_orion::HEK293T,nourreddine2024::KOLF2.1J,zhu2026::CD4T
vcc2025_h1::H1,150,136,50,50,50,15,15,15,15,15,15,13,13,13,149,149,146,142
replogle2022::K562,136,9870,2393,2393,2393,187,187,187,187,187,187,294,294,294,9531,9538,8601,9161
replogle2022::RPE1,50,2393,2393,2392,2392,42,42,42,42,42,42,51,51,51,2283,2280,2159,2189
nadig2025::HepG2,50,2393,2392,2393,2392,42,42,42,42,42,42,51,51,51,2283,2281,2159,2189
nadig2025::Jurkat,50,2393,2392,2392,2393,42,42,42,42,42,42,51,51,51,2283,2280,2159,2190
jiang2025::A549,15,187,42,42,42,218,218,218,218,218,218,27,27,27,215,215,200,213
jiang2025::MCF7,15,187,42,42,42,218,218,218,218,218,218,27,27,27,215,215,200,213
jiang2025::HT29,15,187,42,42,42,218,218,218,218,218,218,27,27,27,215,215,200,213
jiang2025::HAP1,15,187,42,42,42,218,218,218,218,218,218,27,27,27,215,215,200,213
jiang2025::BxPC3,15,187,42,42,42,218,218,218,218,218,218,27,27,27,215,215,200,213
jiang2025::K562,15,187,42,42,42,218,218,218,218,218,218,27,27,27,215,215,200,213
mcfaline2024::A172,13,294,51,51,51,27,27,27,27,27,27,522,522,522,506,505,337,392
mcfaline2024::T98G,13,294,51,51,51,27,27,27,27,27,27,522,522,522,506,505,337,392
mcfaline2024::U87MG,13,294,51,51,51,27,27,27,27,27,27,522,522,522,506,505,337,392
xatlas_orion::HCT116,149,9531,2283,2283,2283,215,215,215,215,215,215,506,506,506,18293,18285,11348,12448
xatlas_orion::HEK293T,149,9538,2280,2281,2280,215,215,215,215,215,215,505,505,505,18285,18311,11361,12460
nourreddine2024::KOLF2.1J,146,8601,2159,2159,2159,200,200,200,200,200,200,337,337,337,11348,11361,11687,10055
zhu2026::CD4T,142,9161,2189,2189,2190,213,213,213,213,213,213,392,392,392,12448,12460,10055,12730
