dataset_context_id,dataset_id,canonical_context_id,context_label_source,cell_line,cellosaurus_id,tissue,organism,perturbation_modality,study_id,same_context_confidence,source_url,assay,chemistry,has_perturbation_observations,controls_available,legacy_coverage_id,notes
vcc2025_h1::H1,vcc2025_h1,H1,challenge/scPertEval metadata,H1 hESC,CVCL_9771,embryonic stem,Homo sapiens,CRISPRi,vcc2025,medium,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,single-cell RNA-seq,unknown,yes,yes,vcc2025_h1,Cellosaurus mapping and original author-level assay metadata require recheck
replogle2022::K562,replogle2022,K562,author/scPerturb metadata,K562,CVCL_0004,blood,Homo sapiens,CRISPRi,replogle2022,high,https://plus.figshare.com/articles/dataset/20029387,Perturb-seq,10x,yes,yes,replogle2022__K562,Unions genome-wide and essential K562 panels; shared targets remain one study-context observation
replogle2022::RPE1,replogle2022,RPE1,author/scPerturb metadata,RPE1,CVCL_4388,retina,Homo sapiens,CRISPRi,replogle2022,high,https://plus.figshare.com/articles/dataset/20029387,Perturb-seq,10x,yes,yes,replogle2022__RPE1,hTERT RPE-1 identifier
nadig2025::HepG2,nadig2025,HepG2,author/scPerturb metadata,HepG2,CVCL_0027,liver,Homo sapiens,CRISPRi,nadig2025,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,Perturb-seq,10x companion screen,yes,yes,nadig2025__HepG2,
nadig2025::Jurkat,nadig2025,Jurkat,author/scPerturb metadata,Jurkat,CVCL_0065,blood,Homo sapiens,CRISPRi,nadig2025,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,Perturb-seq,10x companion screen,yes,yes,nadig2025__Jurkat,
jiang2025::A549,jiang2025,A549,author supplementary metadata,A549,CVCL_0023,lung,Homo sapiens,CRISPRi,jiang2025,high,https://doi.org/10.1038/s41556-025-01622-z,Perturb-seq,Parse Evercode Whole Transcriptome Mega,yes,yes,jiang2025__A549,Five stimulated pathway conditions collapsed at cell-line context level
jiang2025::MCF7,jiang2025,MCF7,author supplementary metadata,MCF7,CVCL_0031,breast,Homo sapiens,CRISPRi,jiang2025,high,https://doi.org/10.1038/s41556-025-01622-z,Perturb-seq,Parse Evercode Whole Transcriptome Mega,yes,yes,jiang2025__MCF7,Five stimulated pathway conditions collapsed at cell-line context level
jiang2025::HT29,jiang2025,HT29,author supplementary metadata,HT29,CVCL_0320,colon,Homo sapiens,CRISPRi,jiang2025,high,https://doi.org/10.1038/s41556-025-01622-z,Perturb-seq,Parse Evercode Whole Transcriptome Mega,yes,yes,jiang2025__HT29,Five stimulated pathway conditions collapsed at cell-line context level
jiang2025::HAP1,jiang2025,HAP1,author supplementary metadata,HAP1,CVCL_Y019,bone marrow,Homo sapiens,CRISPRi,jiang2025,high,https://doi.org/10.1038/s41556-025-01622-z,Perturb-seq,Parse Evercode Whole Transcriptome Mega,yes,yes,jiang2025__HAP1,Five stimulated pathway conditions collapsed at cell-line context level
jiang2025::BxPC3,jiang2025,BxPC3,author supplementary metadata,BxPC3,CVCL_0186,pancreas,Homo sapiens,CRISPRi,jiang2025,high,https://doi.org/10.1038/s41556-025-01622-z,Perturb-seq,Parse Evercode Whole Transcriptome Mega,yes,yes,jiang2025__BxPC3,Five stimulated pathway conditions collapsed at cell-line context level
jiang2025::K562,jiang2025,K562,author supplementary metadata,K562,CVCL_0004,blood,Homo sapiens,CRISPRi,jiang2025,high,https://doi.org/10.1038/s41556-025-01622-z,Perturb-seq,Parse Evercode Whole Transcriptome Mega,yes,yes,jiang2025__K562,Five stimulated pathway conditions collapsed at cell-line context level
srivatsan2020::A549,srivatsan2020,A549,author/scPerturb metadata,A549,CVCL_0023,lung,Homo sapiens,chemical,srivatsan2020,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,sci-Plex,nuclear hashing,yes,yes,,Chemical observations retained in registry but excluded from primary CRISPRi atlas
srivatsan2020::K562,srivatsan2020,K562,author/scPerturb metadata,K562,CVCL_0004,blood,Homo sapiens,chemical,srivatsan2020,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,sci-Plex,nuclear hashing,yes,yes,,Chemical observations retained in registry but excluded from primary CRISPRi atlas
srivatsan2020::MCF7,srivatsan2020,MCF7,author/scPerturb metadata,MCF7,CVCL_0031,breast,Homo sapiens,chemical,srivatsan2020,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,sci-Plex,nuclear hashing,yes,yes,,Chemical observations retained in registry but excluded from primary CRISPRi atlas
mcfaline2024::A172,mcfaline2024,A172,author GEO metadata,A172,CVCL_0131,brain,Homo sapiens,CRISPRi;mixed chemical,mcfaline2024,high,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225775,sci-Plex-GxE,combinatorial indexing,yes,yes,mcfaline2024__A172,Kinase-inhibitor conditions collapsed at cell-line context level
