dataset_id,biological_experiment,variant_id,access_resource,upstream_variant,original_deposit,file_url,file_format,file_size,X_representation,raw_counts_available,raw_counts_location,normalized_data_available,log1p,hvg_subset,all_genes_retained,cell_filtering,gene_filtering,mitochondrial_filtering,minimum_cells_per_perturbation,perturbation_labels_modified,controls_collapsed,guide_level_metadata_retained,multiple_guides_handling,cell_context_metadata_retained,batch_metadata_retained,embeddings_retained,graphs_retained,precomputed_de_retained,source_code_url,preprocessing_documentation_url,last_verified,notes
vcc2025_h1,VCC 2025 H1,vcc2025_h1_scperteval,scPertEval,VCC 2025 author challenge data,unknown,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,H5AD,4377281643,total-normalized 1e4 then log1p sparse float32,no,,yes,yes,no,yes,min_genes=200,min_cells=3,no,unknown,yes,yes,no,not retained,yes,no,no,no,no,https://github.com/Virtual-Cell-Research-Community/scPertEval,https://github.com/Virtual-Cell-Research-Community/scPertEval/blob/main/docs/user-guide/datasets.md,2026-08-21,Evaluation-specific derivative with 150 perturbations plus control
replogle2022,Replogle 2022 K562 genome-wide,replogle_k562_gwps_author,Figshare author deposit,author-processed count matrix,https://plus.figshare.com/articles/dataset/20029387,https://ndownloader.figshare.com/files/35775507,H5AD,65830941948,raw dense float32 UMI counts; contiguous and uncompressed,yes,X,no,no,no,yes,author-processed 1989578 cells,genes expressed above 0.01 UMI per cell,no,unknown,no,no,yes,11187 guide categories retained,yes,yes,no,no,no,https://plus.figshare.com/articles/dataset/20029387,https://plus.figshare.com/articles/dataset/20029387,2026-08-21,8248 genes; 9867 perturbation categories including non-targeting; gem_group is the only explicit batch-like field and no separate replicate column is present
replogle2022,Replogle 2022 K562 genome-wide,replogle_k562_gwps_scperturb,scPerturb,Replogle author raw single-cell H5AD,https://plus.figshare.com/articles/dataset/20029387,https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_K562_gwps.h5ad/content,H5AD,8805466154,raw dense float32 UMI counts; gzip-compressed chunks,yes,X,no,no,no,yes,no additional filtering; exact 1989578 author cells retained,no additional filtering; exact 8248-gene axis retained,no,no,yes,no,yes,11187 guide categories retained,yes,yes,no,no,no,https://github.com/sanderlab/scPerturb/blob/b69f72a070a92bcbaf41e7f9897b11598109ab48/dataset_processing/scripts/ReplogleWeissman2022.py,https://zenodo.org/records/13350497,2026-08-21,Adds standardized metadata and QC summaries; renames gem_group to batch and sgID_AB to guide_id; disambiguates duplicated TBCE and HSPA14 symbols while retaining Ensembl IDs
replogle2022,Replogle 2022 K562 essential,replogle_k562_essential_scperturb,scPerturb,Replogle author raw single-cell H5AD,https://plus.figshare.com/articles/dataset/20029387,https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_K562_essential.h5ad/content,H5AD,1546729675,raw sparse UMI counts,yes,X,no,no,no,yes,author raw cells retained; harmonization QC fields computed,no expression gene filter documented,no,no,yes,no,yes,guide-level rows retained; combinatorial handling dataset-specific,yes,yes,no,no,no,https://github.com/altoslabs/scPerturb/blob/main/dataset_processing/scripts/ReplogleWeissman2022.py,https://zenodo.org/records/13350497,2026-08-21,2058 categorical perturbation labels inspected remotely
replogle2022,Replogle 2022 RPE1 essential,replogle_rpe1_scperturb,scPerturb,Replogle author raw single-cell H5AD,https://plus.figshare.com/articles/dataset/20029387,https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_rpe1.h5ad/content,H5AD,1236886900,raw sparse UMI counts,yes,X,no,no,no,yes,author raw cells retained; harmonization QC fields computed,no expression gene filter documented,no,no,yes,no,yes,guide-level rows retained; combinatorial handling dataset-specific,yes,yes,no,no,no,https://github.com/altoslabs/scPerturb/blob/main/dataset_processing/scripts/ReplogleWeissman2022.py,https://zenodo.org/records/13350497,2026-08-21,2394 categorical perturbation labels inspected remotely
replogle2022,Replogle 2022 K562 essential,replogle_k562_pertpy,PertPy,replogle_k562_essential_scperturb,https://plus.figshare.com/articles/dataset/20029387,https://exampledata.scverse.org/pertpy/replogle_2022_k562_essential.h5ad,H5AD,unknown,same prepared scPerturb representation,yes,X,no,no,no,yes,upstream,upstream,upstream,upstream,no additional change,no,yes,upstream,yes,yes,no,no,no,https://github.com/scverse/pertpy,https://pertpy.readthedocs.io,2026-08-21,Convenience mirror/loader; not independent preprocessing
replogle2022,Replogle 2022 RPE1 essential,replogle_rpe1_pertpy,PertPy,replogle_rpe1_scperturb,https://plus.figshare.com/articles/dataset/20029387,https://exampledata.scverse.org/pertpy/replogle_2022_rpe1.h5ad,H5AD,unknown,same prepared scPerturb representation,yes,X,no,no,no,yes,upstream,upstream,upstream,upstream,no additional change,no,yes,upstream,yes,yes,no,no,no,https://github.com/scverse/pertpy,https://pertpy.readthedocs.io,2026-08-21,Convenience mirror/loader; not independent preprocessing
replogle2022,Replogle 2022 K562 essential,replogle_k562_scperteval,scPertEval,replogle_k562_essential_scperturb,https://plus.figshare.com/articles/dataset/20029387,https://storage.googleapis.com/scperteval/processed/replogle22k562_processed_complete.h5ad,H5AD,2430512332,total-normalized 1e4 then log1p sparse float32,no,,yes,yes,no,yes,min_genes=200,min_cells=3,no,unknown,no,yes,no,removed,yes,no,no,no,no,https://github.com/Virtual-Cell-Research-Community/scPertEval,https://github.com/Virtual-Cell-Research-Community/scPertEval/blob/main/docs/user-guide/datasets.md,2026-08-21,Labels already clean; obs trimmed to perturbation
replogle2022,Replogle 2022 RPE1 essential,replogle_rpe1_scperteval,scPertEval,replogle_rpe1_scperturb,https://plus.figshare.com/articles/dataset/20029387,https://storage.googleapis.com/scperteval/processed/replogle22rpe1_processed_complete.h5ad,H5AD,1877364555,total-normalized 1e4 then log1p sparse float32,no,,yes,yes,no,yes,min_genes=200,min_cells=3,no,unknown,yes,yes,no,removed,yes,no,no,no,no,https://github.com/Virtual-Cell-Research-Community/scPertEval,https://github.com/Virtual-Cell-Research-Community/scPertEval/blob/main/docs/user-guide/datasets.md,2026-08-21,Evaluation-specific derivative
nadig2025,Nadig 2025 HepG2,nadig_hepg2_scperturb,scPerturb,Nadig author/GEO processed counts,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,https://zenodo.org/api/records/13350497/files/NadigOConner2024_hepg2.h5ad/content,H5AD,850590740,raw sparse UMI counts,yes,X,no,no,no,yes,unknown,unknown,no,unknown,yes,no,yes,unknown,yes,yes,no,no,no,https://github.com/altoslabs/scPerturb,https://zenodo.org/records/13350497,2026-08-21,2394 categorical perturbation labels inspected remotely; dataset-specific transformation needs deeper audit
