target_gene,H1,K562,RPE1,HepG2,Jurkat,A549,MCF7,HT29,HAP1,BxPC3,A172,T98G,U87MG,HCT116,HEK293T,KOLF2.1J,CD4T
A1BG,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
A2M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
A2ML1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
A4GALT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AAAS,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
AACS,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
AAGAB,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AAK1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
AAMDC,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
AAMP,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AAR2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
AARD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
AARS,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AARS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AARS2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
AARSD1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
AASDH,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AASDHPPT,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
AASS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AATF,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
AATK,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
ABAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCA1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCA10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCA12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCA13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCA2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCA3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCA5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCA7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCA8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCB10,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCB6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCB7,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABCB8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCB9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCC1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCC10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCC11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCC2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCC3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCC4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCC5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCC6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABCD3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCD4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCE1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABCF1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABCF2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCF3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABCG1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABCG2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
