source_target_gene,n_cells
ADAR,276
AKT1,2442
ARID5B,586
ATF2,658
ATF3,548
ATF5,350
BATF,855
BATF2,1165
BIRC2,1478
BIRC3,887
BRD9,699
CASP10,100
CASP3,357
CASP7,1215
CASP8,212
CEBPB,1092
CEBPE,417
CEBPG,701
CHUK,1497
CLK1,74
COPS4,329
CREB1,1154
CREBBP,1651
CRKL,172
CSF1,459
CSF2,1227
CUL1,525
DNM1L,330
DR1,298
DRAP1,693
DTX3L,544
EHF,321
EIF2B1,1162
ELK1,2871
EP300,389
ETS1,622
ETS2,576
ETV7,626
FADD,1191
FBXO6,328
FMNL2,338
FOS,3183
FOXM1,726
FOXN3,724
FOXO1,1256
FOXO3,915
FOXO4,221
FOXP2,673
GRB10,1079
GRB2,1200
GUK1,535
H1F0,671
HDAC4,396
HDAC5,2209
HERC5,468
HERC6,440
HES4,396
HLA-DQB1,301
HLX,111
HRAS,3515
HSF1,1289
ID1,163
ID2,1785
ID3,440
IFI16,162
IFNAR1,634
IFNAR2,723
IFNGR1,604
IFNGR2,1165
IGF2,1628
IKBKB,731
IKBKE,879
IKBKG,665
INSR,1038
IRF1,3865
IRF2,151
IRF3,253
IRF5,529
IRF7,2156
IRF9,413
IRS1,1378
IRS2,1831
IRS4,680
ITCH,324
JAK1,1408
JAK2,1000
JUN,2368
JUNB,676
KIN,233
KLF4,232
KLF6,1003
KRAS,1183
MAFB,392
MAFF,379
MAP2K3,1592
MAP3K14,1246
MAP3K7,2481
MAPK1,1285
MAPK14,3228
MAPK3,2571
MAPK8,1487
MAPK9,982
MCRS1,127
MED15,2032
MEF2A,569
MMP9,1680
MTF1,1597
MTOR,1325
MYC,3299
NFAT5,214
NFE2L3,415
NFKB1,2058
NFKBIA,1384
NFKBIE,745
NKX3-1,1323
NRAS,303
PAK1,2058
PARP12,1429
PDCD5,368
PIK3CA,2600
PLEK,442
POLR2G,99
POLR2L,463
POU2F1,132
PPARG,116
PPP2CA,901
PRDM1,623
PRKCA,1582
PTEN,926
PTGES3,195
PTGS2,1189
PTPN11,892
RAD51,108
RAF1,587
RAP1GAP,675
RAPGEF1,294
RARRES3,137
RBL1,479
RBX1,879
RELA,980
RELB,936
REPIN1,1497
RFX5,259
RHOA,307
RNF114,688
RNF14,391
RPS6KB1,2612
RUNX1,3857
RUNX2,736
RUNX3,1205
SGK1,807
SHC1,481
SKP1,382
SMAD1,1093
SMAD2,2711
SMAD3,1728
SMAD4,677
SMAD5,361
SMAD6,1487
SMAD7,955
SMAD9,1404
SMARCA5,349
SMARCE1,167
SMURF1,3465
SMURF2,1596
SOCS1,597
SOX2,45
SOX4,469
SOX9,285
SP1,1620
SP100,964
SP110,509
SRC,654
SREBF1,1095
SREBF2,1482
SRF,342
STAT1,1220
STAT2,619
STAT3,980
STAT4,510
STAT5A,842
STAT6,714
TAF3,613
TAF7,1335
TAF8,274
TAPBPL,164
TBX21,476
TGFBR1,358
TGFBR2,823
TGFBR3,611
TGIF1,965
TNFRSF1A,261
TNFRSF1B,1254
TRAF1,516
TRAF2,865
TRAF3,1064
TRAFD1,1020
TRIM21,196
TRIM22,381
TSC1,330
TSC2,1079
TSC22D1,448
TTF1,491
TTF2,137
TYK2,737
UBA7,464
UBE2L6,412
USP18,391
VAV1,784
XBP1,168
ZBP1,509
ZC3H3,367
ZFP36,371
ZFP36L1,206
ZNF22,1185
ZNF267,653
ZNF593,990
ZNFX1,740
