source_target_gene,n_cells
ADAR,514
AKT1,2891
ARID5B,495
ATF2,128
ATF3,6805
ATF5,1762
BATF,1023
BATF2,1966
BIRC2,320
BIRC3,854
BRD9,1676
CASP10,45
CASP3,135
CASP7,894
CASP8,272
CEBPB,1719
CEBPE,353
CEBPG,1814
CHUK,1483
CLK1,178
COPS4,1011
CREB1,1253
CREBBP,176
CRKL,553
CSF1,773
CSF2,1499
CUL1,192
DNM1L,240
DR1,870
DRAP1,807
DTX3L,2255
EHF,3002
EIF2B1,4250
ELK1,7511
EP300,204
ETS1,984
ETS2,2518
ETV7,1032
FADD,496
FBXO6,200
FMNL2,473
FOS,2227
FOXM1,1603
FOXN3,1357
FOXO1,2894
FOXO3,1651
FOXO4,64
FOXP2,212
GRB10,4636
GRB2,3285
GUK1,1269
H1F0,1170
HDAC4,70
HDAC5,345
HERC5,1066
HERC6,1640
HES4,985
HLA-DQB1,1270
HLX,69
HRAS,697
HSF1,5789
ID1,34
ID2,3445
ID3,1143
IFI16,552
IFNAR1,1104
IFNAR2,2901
IFNGR1,812
IFNGR2,2584
IGF2,5853
IKBKB,1550
IKBKE,866
IKBKG,464
INSR,2160
IRF1,5454
IRF2,1584
IRF3,95
IRF5,258
IRF7,5293
IRF9,1879
IRS1,2783
IRS2,1577
IRS4,1279
ITCH,199
JAK1,2069
JAK2,1233
JUN,4659
JUNB,650
KIN,8
KLF4,232
KLF6,1478
KRAS,540
MAFB,1012
MAFF,321
MAP2K3,1386
MAP3K14,3491
MAP3K7,1325
MAPK1,1587
MAPK14,1938
MAPK3,5310
MAPK8,1666
MAPK9,1868
MCRS1,103
MED15,82
MEF2A,281
MMP9,1784
MTF1,896
MTOR,1196
MYC,4374
NFAT5,231
NFE2L3,1343
NFKB1,1101
NFKBIA,1578
NFKBIE,1618
NKX3-1,1684
NRAS,77
PAK1,580
PARP12,3310
PDCD5,448
PIK3CA,1136
PLEK,715
POLR2G,383
POLR2L,374
POU2F1,873
PPARG,156
PPP2CA,313
PRDM1,1047
PRKCA,346
PTEN,1355
PTGES3,163
PTGS2,796
PTPN11,3726
RAD51,881
RAF1,117
RAP1GAP,2832
RAPGEF1,625
RARRES3,1195
RBL1,107
RBX1,186
RELA,355
RELB,1153
REPIN1,1979
RFX5,744
RHOA,118
RNF114,1007
RNF14,663
RPS6KB1,3644
RUNX1,6036
RUNX2,228
RUNX3,325
SGK1,2360
SHC1,1959
SKP1,7
SMAD1,263
SMAD2,625
SMAD3,291
SMAD4,241
SMAD5,106
SMAD6,377
SMAD7,151
SMAD9,429
SMARCA5,543
SMARCE1,37
SMURF1,515
SMURF2,382
SOCS1,1907
SOX2,85
SOX4,378
SOX9,239
SP1,1904
SP100,5318
SP110,1152
SRC,752
SREBF1,3824
SREBF2,5591
SRF,1421
STAT1,2098
STAT2,1539
STAT3,1789
STAT4,1520
STAT5A,3004
STAT6,384
TAF3,3974
TAF7,2555
TAF8,234
TAPBPL,27
TBX21,3139
TGFBR1,431
TGFBR2,365
TGFBR3,171
TGIF1,96
TNFRSF1A,64
TNFRSF1B,1614
TRAF1,810
TRAF2,604
TRAF3,1411
TRAFD1,1649
TRIM21,127
TRIM22,1747
TSC1,184
TSC2,365
TSC22D1,121
TTF1,999
TTF2,1727
TYK2,2687
UBA7,975
UBE2L6,1849
USP18,1372
VAV1,2172
XBP1,81
ZBP1,1297
ZC3H3,149
ZFP36,194
ZFP36L1,683
ZNF22,882
ZNF267,656
ZNF593,2240
ZNFX1,993
