dataset,context,n_cells_in_representation,assignment_column,control_labels,n_control_or_missing,n_multiple_assignment_labels,n_single_target_cells
jiang2025,A549,63123,gene,NT,2564,0,60559
jiang2025,HAP1,56137,gene,NT,2450,0,53687
jiang2025,HT29,58808,gene,NT,2620,0,56188
jiang2025,K562,22987,gene,NT,910,0,22077
jiang2025,MCF7,20341,gene,NT,563,0,19778
jiang2025,BXPC3,15210,gene,NT,702,0,14508
jiang2025,A549,25810,gene,NT,1018,0,24792
jiang2025,BXPC3,67554,gene,NT,4748,0,62806
jiang2025,HAP1,22817,gene,NT,1061,0,21756
jiang2025,HT29,54923,gene,NT,3023,0,51900
jiang2025,K562,28005,gene,NT,1345,0,26660
jiang2025,MCF7,46131,gene,NT,1585,0,44546
jiang2025,A549,32233,gene,NT,1379,0,30854
jiang2025,BXPC3,84057,gene,NT,3228,0,80829
jiang2025,HAP1,67959,gene,NT,3172,0,64787
jiang2025,HT29,56836,gene,NT,2736,0,54100
jiang2025,K562,28554,gene,NT,1398,0,27156
jiang2025,MCF7,58903,gene,NT,2669,0,56234
jiang2025,A549,48322,gene,NT,2501,0,45821
jiang2025,BXPC3,50867,gene,NT,3442,0,47425
jiang2025,HAP1,60865,gene,NT,3215,0,57650
jiang2025,HT29,94460,gene,NT,5296,0,89164
jiang2025,K562,62635,gene,NT,3292,0,59343
jiang2025,MCF7,69482,gene,NT,3351,0,66131
jiang2025,A549,37773,gene,NT,2172,0,35601
jiang2025,BXPC3,97070,gene,NT,5972,0,91098
jiang2025,HAP1,69483,gene,NT,5886,0,63597
jiang2025,HT29,95936,gene,NT,6348,0,89588
jiang2025,K562,65507,gene,NT,2972,0,62535
jiang2025,MCF7,65688,gene,NT,2651,0,63037
