source_target_gene,n_cells
ADAR,349
AKT1,2309
ARID5B,599
ATF2,632
ATF3,493
ATF5,202
BATF,1130
BATF2,2171
BIRC2,880
BIRC3,852
BRD9,975
CASP10,173
CASP3,491
CASP7,1313
CASP8,293
CEBPB,1576
CEBPE,448
CEBPG,1485
CHUK,3220
CLK1,85
COPS4,173
CREB1,857
CREBBP,169
CRKL,347
CSF1,412
CSF2,2174
CUL1,119
DNM1L,204
DR1,199
DRAP1,401
DTX3L,1321
EHF,129
EIF2B1,495
ELK1,1851
EP300,348
ETS1,1044
ETS2,1587
ETV7,776
FADD,1760
FBXO6,322
FMNL2,334
FOS,4987
FOXM1,599
FOXN3,560
FOXO1,2761
FOXO3,1686
FOXO4,213
FOXP2,362
GRB10,2890
GRB2,2249
GUK1,221
H1F0,1604
HDAC4,344
HDAC5,2084
HERC5,995
HERC6,1169
HES4,904
HLA-DQB1,344
HLX,134
HRAS,3646
HSF1,1163
ID1,408
ID2,3341
ID3,849
IFI16,322
IFNAR1,1152
IFNAR2,1261
IFNGR1,300
IFNGR2,827
IGF2,4416
IKBKB,1208
IKBKE,1199
IKBKG,732
INSR,2688
IRF1,3950
IRF2,133
IRF3,837
IRF5,713
IRF7,3175
IRF9,889
IRS1,1906
IRS2,3534
IRS4,2313
ITCH,543
JAK1,2180
JAK2,439
JUN,4993
JUNB,889
KIN,40
KLF4,335
KLF6,1119
KRAS,788
MAFB,405
MAFF,682
MAP2K3,1803
MAP3K14,1977
MAP3K7,2781
MAPK1,2660
MAPK14,3553
MAPK3,3377
MAPK8,2808
MAPK9,1045
MCRS1,60
MED15,485
MEF2A,1110
MMP9,2375
MTF1,2121
MTOR,287
MYC,5643
NFAT5,253
NFE2L3,1137
NFKB1,1242
NFKBIA,1948
NFKBIE,1833
NKX3-1,1267
NRAS,266
PAK1,2107
PARP12,1954
PDCD5,142
PIK3CA,1447
PLEK,447
POLR2G,51
POLR2L,107
POU2F1,177
PPARG,87
PPP2CA,216
PRDM1,686
PRKCA,1852
PTEN,3639
PTGES3,239
PTGS2,835
PTPN11,436
RAD51,155
RAF1,453
RAP1GAP,1733
RAPGEF1,421
RARRES3,182
RBL1,415
RBX1,172
RELA,963
RELB,1396
REPIN1,1992
RFX5,207
RHOA,124
RNF114,1738
RNF14,390
RPS6KB1,1191
RUNX1,3984
RUNX2,824
RUNX3,1477
SGK1,2534
SHC1,1148
SKP1,68
SMAD1,767
SMAD2,1032
SMAD3,1464
SMAD4,282
SMAD5,282
SMAD6,1071
SMAD7,1145
SMAD9,1414
SMARCA5,621
SMARCE1,174
SMURF1,3343
SMURF2,1541
SOCS1,1526
SOX2,17
SOX4,946
SOX9,330
SP1,1744
SP100,1746
SP110,869
SRC,166
SREBF1,2860
SREBF2,2789
SRF,331
STAT1,2869
STAT2,980
STAT3,1709
STAT4,1369
STAT5A,1793
STAT6,310
TAF3,313
TAF7,2240
TAF8,342
TAPBPL,136
TBX21,554
TGFBR1,2780
TGFBR2,2131
TGFBR3,712
TGIF1,725
TNFRSF1A,313
TNFRSF1B,1900
TRAF1,677
TRAF2,861
TRAF3,1545
TRAFD1,1105
TRIM21,523
TRIM22,760
TSC1,1241
TSC2,2550
TSC22D1,586
TTF1,828
TTF2,82
TYK2,736
UBA7,780
UBE2L6,945
USP18,1263
VAV1,2049
XBP1,416
ZBP1,1218
ZC3H3,131
ZFP36,428
ZFP36L1,1728
ZNF22,1266
ZNF267,550
ZNF593,2058
ZNFX1,1316
