source_target_gene,n_cells
ADAR,270
AKT1,2761
ARID5B,1047
ATF2,640
ATF3,1149
ATF5,684
BATF,1554
BATF2,2022
BIRC2,2498
BIRC3,1829
BRD9,996
CASP10,283
CASP3,875
CASP7,2311
CASP8,392
CEBPB,1715
CEBPE,943
CEBPG,1118
CHUK,2848
CLK1,289
COPS4,843
CREB1,1890
CREBBP,893
CRKL,490
CSF1,1047
CSF2,3247
CUL1,316
DNM1L,416
DR1,859
DRAP1,900
DTX3L,879
EHF,633
EIF2B1,1139
ELK1,3650
EP300,287
ETS1,1083
ETS2,968
ETV7,1405
FADD,1204
FBXO6,1042
FMNL2,847
FOS,5017
FOXM1,1107
FOXN3,1247
FOXO1,3079
FOXO3,2387
FOXO4,438
FOXP2,667
GRB10,3617
GRB2,2980
GUK1,781
H1F0,1281
HDAC4,434
HDAC5,1984
HERC5,1040
HERC6,826
HES4,1016
HLA-DQB1,781
HLX,229
HRAS,2488
HSF1,2350
ID1,136
ID2,2745
ID3,716
IFI16,350
IFNAR1,1148
IFNAR2,1117
IFNGR1,1070
IFNGR2,1884
IGF2,4851
IKBKB,1305
IKBKE,1635
IKBKG,1244
INSR,2284
IRF1,6943
IRF2,334
IRF3,444
IRF5,1141
IRF7,3421
IRF9,877
IRS1,2257
IRS2,5073
IRS4,2163
ITCH,623
JAK1,3124
JAK2,1220
JUN,4413
JUNB,1224
KIN,117
KLF4,736
KLF6,1925
KRAS,2002
MAFB,809
MAFF,1264
MAP2K3,2134
MAP3K14,3003
MAP3K7,2460
MAPK1,1204
MAPK14,3659
MAPK3,3846
MAPK8,2986
MAPK9,1960
MCRS1,147
MED15,829
MEF2A,982
MMP9,3445
MTF1,2301
MTOR,1074
MYC,5151
NFAT5,529
NFE2L3,998
NFKB1,1920
NFKBIA,3383
NFKBIE,2375
NKX3-1,2375
NRAS,344
PAK1,1822
PARP12,2734
PDCD5,1586
PIK3CA,3698
PLEK,999
POLR2G,107
POLR2L,178
POU2F1,250
PPARG,169
PPP2CA,468
PRDM1,1277
PRKCA,1563
PTEN,7401
PTGES3,393
PTGS2,2224
PTPN11,2257
RAD51,233
RAF1,626
RAP1GAP,1332
RAPGEF1,489
RARRES3,294
RBL1,568
RBX1,407
RELA,777
RELB,2141
REPIN1,2945
RFX5,636
RHOA,386
RNF114,1439
RNF14,1187
RPS6KB1,4733
RUNX1,4578
RUNX2,736
RUNX3,1193
SGK1,2238
SHC1,1274
SKP1,189
SMAD1,935
SMAD2,1843
SMAD3,2251
SMAD4,661
SMAD5,393
SMAD6,1640
SMAD7,907
SMAD9,1500
SMARCA5,459
SMARCE1,102
SMURF1,2886
SMURF2,1398
SOCS1,1188
SOX2,54
SOX4,1116
SOX9,399
SP1,3236
SP100,3038
SP110,971
SRC,783
SREBF1,4365
SREBF2,5067
SRF,1585
STAT1,3146
STAT2,1306
STAT3,2255
STAT4,855
STAT5A,1278
STAT6,391
TAF3,2126
TAF7,2746
TAF8,493
TAPBPL,321
TBX21,1320
TGFBR1,1347
TGFBR2,1964
TGFBR3,656
TGIF1,700
TNFRSF1A,629
TNFRSF1B,2565
TRAF1,1062
TRAF2,1197
TRAF3,2442
TRAFD1,2550
TRIM21,412
TRIM22,757
TSC1,507
TSC2,3452
TSC22D1,697
TTF1,668
TTF2,215
TYK2,1108
UBA7,692
UBE2L6,721
USP18,880
VAV1,1096
XBP1,450
ZBP1,1236
ZC3H3,853
ZFP36,1075
ZFP36L1,1541
ZNF22,2719
ZNF267,1342
ZNF593,3436
ZNFX1,1719
