source_target_gene,n_cells
ADAR,432
AKT1,1097
ARID5B,715
ATF2,256
ATF3,786
ATF5,389
BATF,1167
BATF2,1090
BIRC2,529
BIRC3,1042
BRD9,692
CASP10,146
CASP3,603
CASP7,1715
CASP8,315
CEBPB,1427
CEBPE,507
CEBPG,443
CHUK,2011
CLK1,130
COPS4,302
CREB1,1174
CREBBP,525
CRKL,477
CSF1,784
CSF2,2076
CUL1,114
DNM1L,312
DR1,430
DRAP1,314
DTX3L,525
EHF,323
EIF2B1,1644
ELK1,3513
EP300,107
ETS1,485
ETS2,700
ETV7,645
FADD,2059
FBXO6,357
FMNL2,299
FOS,3085
FOXM1,626
FOXN3,663
FOXO1,2161
FOXO3,2104
FOXO4,247
FOXP2,266
GRB10,2779
GRB2,3347
GUK1,377
H1F0,629
HDAC4,123
HDAC5,725
HERC5,462
HERC6,408
HES4,497
HLA-DQB1,474
HLX,181
HRAS,1087
HSF1,1728
ID1,130
ID2,2228
ID3,327
IFI16,233
IFNAR1,460
IFNAR2,439
IFNGR1,473
IFNGR2,733
IGF2,3004
IKBKB,1003
IKBKE,1212
IKBKG,544
INSR,1943
IRF1,4188
IRF2,209
IRF3,199
IRF5,615
IRF7,1644
IRF9,422
IRS1,2805
IRS2,3335
IRS4,1114
ITCH,392
JAK1,1385
JAK2,571
JUN,2960
JUNB,970
KIN,52
KLF4,324
KLF6,1429
KRAS,529
MAFB,572
MAFF,525
MAP2K3,777
MAP3K14,1874
MAP3K7,1289
MAPK1,1497
MAPK14,1287
MAPK3,2639
MAPK8,2027
MAPK9,1535
MCRS1,62
MED15,163
MEF2A,483
MMP9,2157
MTF1,1410
MTOR,286
MYC,2859
NFAT5,263
NFE2L3,342
NFKB1,1342
NFKBIA,2278
NFKBIE,1517
NKX3-1,1555
NRAS,125
PAK1,793
PARP12,1707
PDCD5,791
PIK3CA,3459
PLEK,431
POLR2G,165
POLR2L,348
POU2F1,191
PPARG,100
PPP2CA,323
PRDM1,773
PRKCA,622
PTEN,2178
PTGES3,318
PTGS2,1240
PTPN11,736
RAD51,135
RAF1,197
RAP1GAP,582
RAPGEF1,354
RARRES3,172
RBL1,170
RBX1,118
RELA,570
RELB,1432
REPIN1,1786
RFX5,366
RHOA,82
RNF114,602
RNF14,559
RPS6KB1,2792
RUNX1,2088
RUNX2,262
RUNX3,566
SGK1,2068
SHC1,737
SKP1,75
SMAD1,472
SMAD2,786
SMAD3,545
SMAD4,233
SMAD5,158
SMAD6,413
SMAD7,343
SMAD9,696
SMARCA5,235
SMARCE1,37
SMURF1,994
SMURF2,557
SOCS1,583
SOX2,23
SOX4,580
SOX9,399
SP1,1522
SP100,1205
SP110,514
SRC,371
SREBF1,2236
SREBF2,2240
SRF,1200
STAT1,1382
STAT2,709
STAT3,1113
STAT4,466
STAT5A,869
STAT6,215
TAF3,597
TAF7,1672
TAF8,284
TAPBPL,160
TBX21,870
TGFBR1,584
TGFBR2,818
TGFBR3,325
TGIF1,282
TNFRSF1A,425
TNFRSF1B,1813
TRAF1,712
TRAF2,554
TRAF3,1570
TRAFD1,1325
TRIM21,196
TRIM22,310
TSC1,1008
TSC2,2064
TSC22D1,451
TTF1,476
TTF2,145
TYK2,532
UBA7,367
UBE2L6,290
USP18,589
VAV1,595
XBP1,275
ZBP1,482
ZC3H3,216
ZFP36,377
ZFP36L1,1394
ZNF22,1621
ZNF267,644
ZNF593,2649
ZNFX1,753
