source_target_gene,n_cells
ADAR,850
AKT1,1448
ARID5B,735
ATF2,244
ATF3,842
ATF5,732
BATF,1929
BATF2,2245
BIRC2,1015
BIRC3,1048
BRD9,796
CASP10,108
CASP3,461
CASP7,1297
CASP8,457
CEBPB,2655
CEBPE,856
CEBPG,827
CHUK,1444
CLK1,113
COPS4,971
CREB1,941
CREBBP,592
CRKL,800
CSF1,1136
CSF2,2139
CUL1,1293
DNM1L,436
DR1,486
DRAP1,1243
DTX3L,1786
EHF,683
EIF2B1,1663
ELK1,4029
EP300,150
ETS1,1045
ETS2,1368
ETV7,1576
FADD,1684
FBXO6,622
FMNL2,623
FOS,3335
FOXM1,776
FOXN3,1022
FOXO1,2031
FOXO3,1383
FOXO4,636
FOXP2,164
GRB10,1496
GRB2,2314
GUK1,1138
H1F0,1128
HDAC4,86
HDAC5,642
HERC5,971
HERC6,1281
HES4,764
HLA-DQB1,497
HLX,298
HRAS,733
HSF1,1769
ID1,482
ID2,2447
ID3,761
IFI16,307
IFNAR1,644
IFNAR2,450
IFNGR1,726
IFNGR2,1723
IGF2,3011
IKBKB,600
IKBKE,1251
IKBKG,615
INSR,2260
IRF1,5900
IRF2,256
IRF3,527
IRF5,1108
IRF7,1846
IRF9,355
IRS1,3291
IRS2,3342
IRS4,578
ITCH,458
JAK1,2479
JAK2,1390
JUN,3752
JUNB,763
KIN,654
KLF4,529
KLF6,1329
KRAS,758
MAFB,473
MAFF,912
MAP2K3,1622
MAP3K14,2640
MAP3K7,1427
MAPK1,635
MAPK14,2646
MAPK3,1984
MAPK8,2502
MAPK9,2088
MCRS1,214
MED15,215
MEF2A,917
MMP9,2286
MTF1,3249
MTOR,1869
MYC,3626
NFAT5,456
NFE2L3,1174
NFKB1,2899
NFKBIA,1245
NFKBIE,1423
NKX3-1,1748
NRAS,94
PAK1,573
PARP12,2735
PDCD5,527
PIK3CA,3930
PLEK,722
POLR2G,56
POLR2L,47
POU2F1,142
PPARG,216
PPP2CA,279
PRDM1,1062
PRKCA,504
PTEN,1051
PTGES3,154
PTGS2,1625
PTPN11,1836
RAD51,208
RAF1,233
RAP1GAP,1287
RAPGEF1,760
RARRES3,239
RBL1,190
RBX1,391
RELA,321
RELB,1322
REPIN1,1740
RFX5,427
RHOA,123
RNF114,984
RNF14,634
RPS6KB1,2792
RUNX1,2372
RUNX2,251
RUNX3,558
SGK1,1204
SHC1,1058
SKP1,66
SMAD1,266
SMAD2,595
SMAD3,1005
SMAD4,234
SMAD5,133
SMAD6,441
SMAD7,252
SMAD9,424
SMARCA5,1126
SMARCE1,172
SMURF1,891
SMURF2,494
SOCS1,863
SOX2,105
SOX4,581
SOX9,690
SP1,3056
SP100,1787
SP110,1120
SRC,1155
SREBF1,2816
SREBF2,2450
SRF,926
STAT1,2453
STAT2,807
STAT3,1925
STAT4,855
STAT5A,1195
STAT6,682
TAF3,2754
TAF7,2386
TAF8,691
TAPBPL,234
TBX21,985
TGFBR1,406
TGFBR2,456
TGFBR3,271
TGIF1,288
TNFRSF1A,394
TNFRSF1B,1931
TRAF1,651
TRAF2,1016
TRAF3,1664
TRAFD1,1965
TRIM21,542
TRIM22,606
TSC1,344
TSC2,1406
TSC22D1,515
TTF1,1631
TTF2,797
TYK2,822
UBA7,486
UBE2L6,418
USP18,1320
VAV1,1137
XBP1,550
ZBP1,1598
ZC3H3,546
ZFP36,584
ZFP36L1,1752
ZNF22,1255
ZNF267,902
ZNF593,2266
ZNFX1,1271
