source_target_gene,n_cells
AAK1,307
AATK,612
ABL1,344
ABL2,747
ACVR1,624
ACVR1B,323
ACVR1C,397
ACVR2A,401
ACVR2B,573
ACVRL1,533
ADCK1,495
ADCK2,575
ADCK3,502
ADCK4,370
ADCK5,430
ADRBK1,421
ADRBK2,362
AKT1,542
AKT2,510
AKT3,331
ALK,363
ALPK1,227
ALPK2,313
ALPK3,473
AMHR2,480
ANKK1,401
ARAF,403
ATM,449
ATR,207
AURKA,70
AURKB,35
AURKC,335
AXL,300
BCKDK,421
BCR,534
BLK,390
BMP2K,295
BMPR1A,535
BMPR1B,442
BMPR2,512
BMX,247
BRAF,464
BRD2,746
BRD3,500
BRD4,341
BRDT,396
BRSK1,438
BRSK2,379
BTK,308
BUB1,406
BUB1B,83
C9ORF96,452
CAMK1,406
CAMK1D,514
CAMK1G,725
CAMK2A,338
CAMK2B,480
CAMK2D,724
CAMK2G,376
CAMK4,317
CAMKK1,364
CAMKK2,340
CAMKV,350
CASK,359
CDC42BPA,419
CDC42BPB,676
CDC42BPG,413
CDC7,157
CDK1,214
CDK10,346
CDK11A,286
CDK12,352
CDK13,370
CDK14,353
CDK15,390
CDK16,428
CDK17,400
CDK18,452
CDK19,450
CDK2,301
CDK20,314
CDK3,415
CDK4,375
CDK5,311
CDK6,886
CDK7,343
CDK8,293
CDK9,627
CDKL1,502
CDKL2,339
CDKL3,605
CDKL4,292
CDKL5,487
CHEK1,319
CHEK2,465
CHUK,488
CIT,213
CLK1,257
CLK2,456
CLK3,948
CLK4,403
CSF1R,302
CSK,535
CSNK1A1,419
CSNK1A1L,509
CSNK1D,390
CSNK1E,334
CSNK1G1,472
CSNK1G2,485
CSNK1G3,559
CSNK2A1,374
CSNK2A2,544
DAPK1,617
DAPK2,506
DAPK3,327
DCLK1,442
DCLK2,444
DCLK3,378
DDR1,647
DDR2,434
DMPK,363
DSTYK,414
DYRK1A,322
DYRK1B,355
DYRK2,587
DYRK3,539
DYRK4,343
EEF2K,506
EGFR,666
EIF2AK1,407
EIF2AK2,327
EIF2AK3,512
EIF2AK4,216
EPHA1,327
EPHA10,796
EPHA2,288
EPHA3,494
EPHA4,564
EPHA5,319
EPHA6,433
EPHA7,404
EPHA8,489
EPHB1,328
EPHB2,406
EPHB3,651
EPHB4,502
EPHB6,376
ERBB2,370
ERBB3,466
ERBB4,377
ERN1,301
ERN2,524
FASTK,343
FER,856
FES,454
FGFR1,263
FGFR2,232
FGFR3,287
FGFR4,402
FGR,479
FLT1,387
FLT3,531
FLT4,411
FRK,336
FYN,551
GAK,525
GRK1,264
GRK4,636
GRK5,525
GRK6,445
GRK7,458
GSG2,440
GSK3A,389
GSK3B,297
GUCY2C,494
GUCY2D,412
GUCY2F,396
HCK,479
HIPK1,419
HIPK2,289
HIPK3,697
