source_target_gene,n_guides
AAK1,5
AATK,5
ABL1,5
ABL2,10
ACVR1,5
ACVR1B,5
ACVR1C,5
ACVR2A,5
ACVR2B,5
ACVRL1,5
ADCK1,5
ADCK2,5
ADCK3,5
ADCK4,5
ADCK5,5
ADRBK1,5
ADRBK2,5
AKT1,5
AKT2,5
AKT3,5
ALK,5
ALPK1,5
ALPK2,5
ALPK3,5
AMHR2,5
ANKK1,5
ARAF,5
ATM,5
ATR,5
AURKA,5
AURKB,5
AURKC,5
AXL,5
BCKDK,5
BCR,5
BLK,5
BMP2K,5
BMPR1A,5
BMPR1B,5
BMPR2,5
BMX,5
BRAF,5
BRD2,10
BRD3,5
BRD4,5
BRDT,5
BRSK1,5
BRSK2,5
BTK,5
BUB1,5
BUB1B,5
C9orf96,5
CAMK1,5
CAMK1D,5
CAMK1G,10
CAMK2A,5
CAMK2B,5
CAMK2D,5
CAMK2G,5
CAMK4,5
CAMKK1,5
CAMKK2,5
CAMKV,5
CASK,5
CDC42BPA,5
CDC42BPB,5
CDC42BPG,5
CDC7,5
CDK1,5
CDK10,5
CDK11A,5
CDK12,5
CDK13,5
CDK14,5
CDK15,5
CDK16,5
CDK17,5
CDK18,5
CDK19,5
CDK2,5
CDK20,5
CDK3,5
CDK4,5
CDK5,5
CDK6,10
CDK7,5
CDK8,5
CDK9,5
CDKL1,5
CDKL2,5
CDKL3,10
CDKL4,5
CDKL5,5
CHEK1,5
CHEK2,5
CHUK,5
CIT,5
CLK1,5
CLK2,5
CLK3,10
CLK4,5
CSF1R,5
CSK,5
CSNK1A1,5
CSNK1A1L,5
CSNK1D,5
CSNK1E,5
CSNK1G1,5
CSNK1G2,5
CSNK1G3,5
CSNK2A1,5
CSNK2A2,5
DAPK1,5
DAPK2,5
DAPK3,5
DCLK1,5
DCLK2,5
DCLK3,5
DDR1,10
DDR2,5
DMPK,5
DSTYK,5
DYRK1A,5
DYRK1B,5
DYRK2,5
DYRK3,5
DYRK4,5
EEF2K,5
EGFR,5
EIF2AK1,5
EIF2AK2,5
EIF2AK3,5
EIF2AK4,5
EPHA1,5
EPHA10,10
EPHA2,5
EPHA3,5
EPHA4,5
EPHA5,5
EPHA6,5
EPHA7,5
EPHA8,5
EPHB1,5
EPHB2,5
EPHB3,5
EPHB4,5
EPHB6,5
ERBB2,5
ERBB3,5
ERBB4,5
ERN1,5
ERN2,5
FASTK,5
FER,10
FES,5
FGFR1,5
FGFR2,5
FGFR3,5
FGFR4,5
FGR,5
FLT1,5
FLT3,5
FLT4,5
FRK,5
FYN,5
GAK,5
GRK1,5
GRK4,5
GRK5,5
GRK6,5
GRK7,5
GSG2,5
GSK3A,5
GSK3B,5
GUCY2C,5
GUCY2D,5
GUCY2F,5
HCK,5
HIPK1,5
HIPK2,5
HIPK3,10
HIPK4,5
HSPB8,5
HUNK,5
ICK,5
IGF1R,10
IKBKB,5
IKBKE,5
ILK,5
INSR,5
INSRR,5
IRAK1,10
IRAK2,5
IRAK3,5
IRAK4,5
ITK,5
JAK1,5
JAK2,5
JAK3,5
KALRN,5
KDR,5
KIAA1804,5
KIT,5
KSR1,5
KSR2,5
LATS1,5
LATS2,5
LCK,5
LIMK1,10
LIMK2,5
LMTK2,5
LMTK3,5
LRRK1,5
LRRK2,5
LTK,5
LYN,5
MAK,5
MAP2K1,5
MAP2K2,5
MAP2K3,5
MAP2K4,5
MAP2K5,5
MAP2K6,5
MAP2K7,5
MAP3K1,5
MAP3K10,5
MAP3K11,10
MAP3K12,5
MAP3K13,10
MAP3K14,5
MAP3K15,5
MAP3K19,5
MAP3K2,5
MAP3K3,5
MAP3K4,5
MAP3K5,5
MAP3K6,5
MAP3K7,5
MAP3K8,5
MAP3K9,5
MAP4K1,5
MAP4K2,5
MAP4K3,5
MAP4K4,5
MAP4K5,5
MAPK1,5
MAPK10,5
MAPK11,5
MAPK12,5
MAPK13,10
MAPK14,5
MAPK15,5
MAPK3,5
MAPK4,5
MAPK6,5
