source_target_gene,n_cells
AAK1,313
AATK,567
ABL1,361
ABL2,661
ACVR1,399
ACVR1B,332
ACVR1C,340
ACVR2A,406
ACVR2B,504
ACVRL1,591
ADCK1,365
ADCK2,537
ADCK3,377
ADCK4,326
ADCK5,308
ADRBK1,516
ADRBK2,301
AKT1,449
AKT2,371
AKT3,301
ALK,332
ALPK1,200
ALPK2,241
ALPK3,558
AMHR2,367
ANKK1,301
ARAF,385
ATM,325
ATR,124
AURKA,174
AURKB,39
AURKC,294
AXL,304
BCKDK,427
BCR,506
BLK,282
BMP2K,235
BMPR1A,402
BMPR1B,527
BMPR2,533
BMX,216
BRAF,382
BRD2,608
BRD3,515
BRD4,310
BRDT,387
BRSK1,323
BRSK2,354
BTK,231
BUB1,317
BUB1B,35
C9ORF96,484
CAMK1,355
CAMK1D,415
CAMK1G,652
CAMK2A,327
CAMK2B,421
CAMK2D,483
CAMK2G,323
CAMK4,309
CAMKK1,274
CAMKK2,296
CAMKV,368
CASK,378
CDC42BPA,335
CDC42BPB,558
CDC42BPG,406
CDC7,165
CDK1,188
CDK10,343
CDK11A,252
CDK12,291
CDK13,316
CDK14,381
CDK15,329
CDK16,319
CDK17,387
CDK18,361
CDK19,379
CDK2,217
CDK20,337
CDK3,425
CDK4,322
CDK5,324
CDK6,709
CDK7,210
CDK8,318
CDK9,701
CDKL1,466
CDKL2,340
CDKL3,557
CDKL4,246
CDKL5,535
CHEK1,266
CHEK2,383
CHUK,389
CIT,173
CLK1,235
CLK2,427
CLK3,695
CLK4,416
CSF1R,337
CSK,724
CSNK1A1,353
CSNK1A1L,385
CSNK1D,340
CSNK1E,396
CSNK1G1,499
CSNK1G2,485
CSNK1G3,435
CSNK2A1,414
CSNK2A2,527
DAPK1,489
DAPK2,556
DAPK3,347
DCLK1,415
DCLK2,346
DCLK3,408
DDR1,563
DDR2,339
DMPK,403
DSTYK,295
DYRK1A,283
DYRK1B,389
DYRK2,440
DYRK3,552
DYRK4,320
EEF2K,408
EGFR,551
EIF2AK1,278
EIF2AK2,263
EIF2AK3,413
EIF2AK4,192
EPHA1,355
EPHA10,730
EPHA2,333
EPHA3,434
EPHA4,476
EPHA5,273
EPHA6,330
EPHA7,472
EPHA8,426
EPHB1,336
EPHB2,356
EPHB3,524
EPHB4,419
EPHB6,385
ERBB2,371
ERBB3,436
ERBB4,310
ERN1,312
ERN2,413
FASTK,413
FER,767
FES,452
FGFR1,272
FGFR2,259
FGFR3,326
FGFR4,342
FGR,462
FLT1,338
FLT3,538
FLT4,347
FRK,329
FYN,502
GAK,472
GRK1,302
GRK4,626
GRK5,372
GRK6,381
GRK7,443
GSG2,364
GSK3A,426
GSK3B,285
GUCY2C,394
GUCY2D,374
GUCY2F,381
HCK,410
HIPK1,388
HIPK2,270
HIPK3,574
HIPK4,551
HSPB8,373
HUNK,437
ICK,293
IGF1R,742
IKBKB,269
IKBKE,282
ILK,266
INSR,277
INSRR,281
IRAK1,656
IRAK2,366
IRAK3,397
IRAK4,479
ITK,335
JAK1,253
JAK2,314
JAK3,370
KALRN,307
KDR,219
KIAA1804,430
KIT,343
KSR1,407
KSR2,260
LATS1,352
LATS2,542
LCK,289
LIMK1,624
LIMK2,390
LMTK2,602
LMTK3,291
LRRK1,450
LRRK2,370
LTK,388
LYN,425
MAK,295
MAP2K1,296
MAP2K2,284
MAP2K3,397
MAP2K4,339
MAP2K5,388
MAP2K6,274
MAP2K7,334
MAP3K1,337
MAP3K10,409
MAP3K11,657
MAP3K12,456
MAP3K13,481
MAP3K14,398
MAP3K15,560
MAP3K19,223
MAP3K2,577
MAP3K3,280
MAP3K4,597
MAP3K5,495
MAP3K6,311
MAP3K7,216
MAP3K8,314
MAP3K9,302
MAP4K1,425
MAP4K2,386
MAP4K3,385
MAP4K4,411
MAP4K5,378
MAPK1,379
MAPK10,293
MAPK11,399
MAPK12,441
MAPK13,628
MAPK14,205
MAPK15,238
MAPK3,463
MAPK4,390
MAPK6,466
MAPK7,340
MAPK8,449
MAPK9,523
MAPKAPK2,483
MAPKAPK3,464
MAPKAPK5,392
MARK1,325
MARK2,632
MARK3,889
MARK4,319
MAST1,721
MAST2,360
MAST3,535
MAST4,387
MASTL,336
MATK,416
MELK,453
MERTK,450
MET,340
MINK1,294
MKNK1,615
MKNK2,925
MLKL,383
MOK,363
MOS,355
MST1R,357
MST4,391
MTOR,97
MUSK,198
MYLK,697
MYLK2,480
MYLK3,647
MYLK4,249
MYO3A,340
MYO3B,254
NEK1,184
NEK10,499
NEK11,304
NEK2,248
NEK3,529
NEK4,303
NEK5,390
NEK6,473
NEK7,377
NEK8,418
NEK9,335
NIM1,375
NLK,297
NPR1,401
NPR2,248
NRBP1,169
NRBP2,282
NRK,326
NTRK1,339
NTRK2,382
NTRK3,328
NUAK1,409
NUAK2,380
OBSCN,481
OXSR1,441
PAK1,339
PAK2,508
PAK3,306
PAK4,339
PAK6,808
PAK7,295
PASK,398
PBK,191
PDGFRA,132
PDGFRB,105
PDIK1L,396
PDK1,323
PDK2,391
PDK3,392
PDK4,420
PDPK1,258
PEAK1,301
PHKG1,342
PHKG2,309
PIK3C2A,196
PIK3C2B,466
PIK3C2G,236
PIK3C3,349
PIK3CA,286
PIK3CB,226
