source_target_gene,n_cells
AAK1,358
AATK,682
ABL1,390
ABL2,775
ACVR1,479
ACVR1B,312
ACVR1C,445
ACVR2A,511
ACVR2B,510
ACVRL1,410
ADCK1,434
ADCK2,507
ADCK3,420
ADCK4,394
ADCK5,345
ADRBK1,410
ADRBK2,427
AKT1,551
AKT2,451
AKT3,425
ALK,368
ALPK1,239
ALPK2,317
ALPK3,537
AMHR2,449
ANKK1,450
ARAF,449
ATM,363
ATR,195
AURKA,104
AURKB,15
AURKC,335
AXL,386
BCKDK,459
BCR,446
BLK,312
BMP2K,244
BMPR1A,606
BMPR1B,539
BMPR2,533
BMX,293
BRAF,487
BRD2,656
BRD3,507
BRD4,347
BRDT,357
BRSK1,416
BRSK2,369
BTK,273
BUB1,377
BUB1B,61
C9ORF96,535
CAMK1,521
CAMK1D,557
CAMK1G,739
CAMK2A,384
CAMK2B,426
CAMK2D,582
CAMK2G,345
CAMK4,400
CAMKK1,384
CAMKK2,269
CAMKV,414
CASK,360
CDC42BPA,422
CDC42BPB,663
CDC42BPG,444
CDC7,170
CDK1,103
CDK10,285
CDK11A,347
CDK12,143
CDK13,330
CDK14,465
CDK15,323
CDK16,481
CDK17,455
CDK18,491
CDK19,377
CDK2,261
CDK20,269
CDK3,481
CDK4,114
CDK5,304
CDK6,898
CDK7,317
CDK8,355
CDK9,711
CDKL1,584
CDKL2,325
CDKL3,684
CDKL4,211
CDKL5,534
CHEK1,208
CHEK2,538
CHUK,469
CIT,324
CLK1,264
CLK2,459
CLK3,803
CLK4,385
CSF1R,396
CSK,574
CSNK1A1,339
CSNK1A1L,543
CSNK1D,400
CSNK1E,404
CSNK1G1,483
CSNK1G2,477
CSNK1G3,518
CSNK2A1,461
CSNK2A2,625
DAPK1,666
DAPK2,581
DAPK3,448
DCLK1,485
DCLK2,378
DCLK3,435
DDR1,667
DDR2,361
DMPK,388
DSTYK,359
DYRK1A,319
DYRK1B,356
DYRK2,629
DYRK3,636
DYRK4,348
EEF2K,532
EGFR,570
EIF2AK1,401
EIF2AK2,395
EIF2AK3,482
EIF2AK4,261
EPHA1,391
EPHA10,776
EPHA2,357
EPHA3,470
EPHA4,535
EPHA5,288
EPHA6,405
EPHA7,400
EPHA8,433
EPHB1,328
EPHB2,385
EPHB3,592
EPHB4,581
EPHB6,439
ERBB2,419
ERBB3,503
ERBB4,380
ERN1,352
ERN2,525
FASTK,357
FER,905
FES,418
FGFR1,280
FGFR2,356
FGFR3,294
FGFR4,382
FGR,515
FLT1,334
FLT3,470
FLT4,422
FRK,356
FYN,499
GAK,462
GRK1,216
GRK4,585
GRK5,482
GRK6,392
GRK7,483
GSG2,316
GSK3A,430
GSK3B,374
GUCY2C,476
GUCY2D,399
GUCY2F,409
HCK,465
HIPK1,442
HIPK2,280
HIPK3,708
HIPK4,557
HSPB8,404
HUNK,492
ICK,342
IGF1R,726
IKBKB,330
IKBKE,391
ILK,311
INSR,387
INSRR,352
IRAK1,762
IRAK2,352
IRAK3,532
IRAK4,593
ITK,400
JAK1,346
JAK2,432
JAK3,390
KALRN,264
KDR,288
KIAA1804,483
KIT,414
KSR1,534
KSR2,407
LATS1,452
LATS2,461
LCK,335
LIMK1,766
LIMK2,480
LMTK2,589
LMTK3,354
LRRK1,474
LRRK2,429
LTK,458
LYN,428
MAK,379
MAP2K1,327
MAP2K2,278
MAP2K3,471
MAP2K4,375
MAP2K5,382
MAP2K6,374
MAP2K7,330
MAP3K1,434
MAP3K10,338
MAP3K11,737
MAP3K12,501
MAP3K13,597
MAP3K14,500
MAP3K15,650
MAP3K19,237
MAP3K2,469
MAP3K3,287
MAP3K4,646
MAP3K5,496
MAP3K6,378
MAP3K7,313
MAP3K8,316
MAP3K9,342
MAP4K1,432
MAP4K2,353
MAP4K3,480
MAP4K4,491
MAP4K5,432
MAPK1,503
MAPK10,381
MAPK11,431
MAPK12,577
MAPK13,714
MAPK14,319
MAPK15,325
MAPK3,506
MAPK4,477
MAPK6,525
MAPK7,429
MAPK8,456
MAPK9,581
MAPKAPK2,438
MAPKAPK3,547
MAPKAPK5,454
MARK1,426
MARK2,681
MARK3,939
MARK4,509
MAST1,638
MAST2,412
MAST3,748
MAST4,404
MASTL,191
MATK,587
MELK,438
MERTK,510
MET,402
MINK1,407
MKNK1,731
MKNK2,946
MLKL,483
MOK,374
MOS,346
MST1R,467
MST4,443
MTOR,78
MUSK,229
MYLK,952
MYLK2,489
MYLK3,724
MYLK4,298
MYO3A,465
MYO3B,394
NEK1,239
NEK10,584
NEK11,343
NEK2,261
NEK3,570
NEK4,339
NEK5,586
NEK6,532
NEK7,427
NEK8,468
NEK9,367
NIM1,504
NLK,373
NPR1,364
NPR2,292
NRBP1,291
NRBP2,289
NRK,324
NTRK1,420
NTRK2,387
NTRK3,363
NUAK1,373
NUAK2,432
OBSCN,532
OXSR1,524
PAK1,351
PAK2,573
PAK3,330
PAK4,478
PAK6,913
PAK7,206
PASK,510
PBK,222
PDGFRA,185
PDGFRB,325
PDIK1L,383
PDK1,361
PDK2,463
PDK3,469
PDK4,517
PDPK1,364
PEAK1,428
PHKG1,359
PHKG2,398
PIK3C2A,182
PIK3C2B,484
PIK3C2G,269
PIK3C3,513
PIK3CA,417
PIK3CB,328
PIK3CD,502
PIK3CG,379
PIK3R4,321
PIM1,669
PIM2,455
PIM3,517
PINK1,485
PKDCC,393
PKMYT1,237
PKN1,734
PKN2,410
PKN3,337
PLK1,37
PLK2,899
PLK3,403
PLK4,375
PLK5,556
PNCK,533
PRKAA1,427
PRKAA2,339
PRKACA,362
PRKACB,250
PRKACG,428
PRKCA,331
PRKCB,362
PRKCD,352
PRKCE,419
PRKCG,306
PRKCH,397
PRKCI,351
PRKCQ,499
PRKCZ,969
PRKD1,488
PRKD2,927
PRKD3,438
PRKDC,266
PRKG1,260
PRKG2,363
PRKX,445
PRPF4B,153
PSKH1,479
PSKH2,374
PTK2,547
PTK2B,322
PTK6,303
PTK7,391
PXK,288
RAF1,565
RET,858
RIOK1,111
RIOK2,71
RIOK3,395
RIPK1,756
RIPK2,379
RIPK3,380
RIPK4,352
RNASEL,431
ROCK1,604
ROCK2,457
ROR1,432
ROR2,338
ROS1,410
RPS6KA1,914
RPS6KA2,376
RPS6KA3,438
RPS6KA4,396
RPS6KA5,390
RPS6KA6,609
RPS6KB1,610
RPS6KB2,337
RPS6KC1,434
RPS6KL1,471
RYK,525
SBK1,387
SBK2,310
SCYL1,308
SCYL2,562
SCYL3,507
SGK1,705
SGK2,572
SGK223,483
SGK3,966
SGK494,514
SIK1,519
SIK2,458
SIK3,455
SLK,398
SMG1,364
SNRK,553
SPEG,926
SRC,333
SRMS,515
SRPK1,488
SRPK2,740
SRPK3,358
STK10,403
STK11,833
STK16,395
STK17A,391
STK17B,517
STK19,439
STK24,400
STK25,561
STK3,431
STK31,375
STK32A,572
STK32B,469
STK32C,978
STK33,552
STK35,484
STK36,342
STK38,443
STK38L,355
STK39,541
STK4,462
STK40,462
STRADA,414
STRADB,466
STYK1,307
SYK,920
TAF1,244
TAF1L,328
TAOK1,618
TAOK2,307
TAOK3,795
TBCK,313
TBK1,507
TEC,332
TEK,335
TESK1,380
TESK2,560
TEX14,496
TGFBR1,398
TGFBR2,487
TIE1,439
TLK1,343
TLK2,267
TNIK,504
TNK1,464
TNK2,858
TNNI3K,334
TP53RK,263
TRIB1,474
TRIB2,561
TRIB3,362
TRIM24,338
TRIM28,447
TRIM33,423
TRIO,451
TRPM6,318
TRPM7,513
TRRAP,428
TSSK1B,407
TSSK2,452
TSSK3,435
TSSK4,413
TSSK6,392
TTBK1,477
TTBK2,450
TTK,74
TTN,795
TWF2,630
TXK,765
TYK2,491
TYRO3,477
UHMK1,520
ULK1,428
ULK2,507
ULK3,509
ULK4,384
VRK1,294
VRK2,577
VRK3,381
WEE1,197
WEE2,358
WNK1,660
WNK2,654
WNK3,293
WNK4,498
YES1,544
ZAK,501
ZAP70,559
