source_target_gene,n_cells
AAAS,39
AAMP,19
AAR2,38
AARS,53
AARS2,24
AASDHPPT,26
AATF,51
ABCB7,71
ABCB10,22
ABCE1,27
ABCF1,96
ABCG1,57
ABHD11,33
ABHD17A,45
ABT1,108
AC118549.1,27
ACD,20
ACIN1,78
ACOT12,80
ACSS2,33
ACTB,47
ACTL6A,9
ACTR1A,39
ACTR1B,42
ACTR2,79
ACTR3,32
ACTR5,43
ACTR6,51
ACTR8,70
ACTR10,25
ADAM10,161
ADAT2,29
ADAT3,119
ADNP2,22
ADRM1,49
ADSL,26
AFG3L2,36
AGBL5,50
AHCTF1,64
AHCY,19
AIFM1,39
AKIRIN2,92
ALDOA,98
ALG1,28
ALG1L,70
ALG2,42
ALG11,32
ALG13,30
ALG14,24
ALYREF,28
ANAPC1,78
ANAPC2,56
ANAPC4,22
ANAPC5,61
ANAPC10,37
ANAPC11,80
ANAPC13,56
ANAPC15,200
ANKLE2,102
ANKRD11,102
ANKRD17,31
ANKRD39,32
ANKRD49,42
ANKS6,63
ANLN,12
AP2A1,28
AP2M1,44
AP2S1,14
AQP7,56
AQR,12
ARCN1,94
ARF4,25
ARFRP1,40
ARGFX,48
ARGLU1,48
ARHGAP6,50
ARHGAP11B,27
ARID3A,32
ARID5B,42
ARIH1,12
ARL2,75
ARL4D,39
ARL6IP6,48
ARMC6,25
ARMC7,66
ARPC1B,14
ARPC2,99
ARPC3,43
ARPC4,66
ARRB2,38
ASCC3,62
ASF1B,46
ATF4,23
ATF5,52
ATIC,17
ATL2,22
ATP1A1,27
ATP2A2,74
ATP5F1A,26
ATP5F1B,10
ATP5F1C,19
ATP5MD,23
ATP5ME,41
ATP5MF,60
ATP5PD,47
ATP5PO,25
ATP6AP1,61
ATP6AP2,128
ATP6V0B,53
ATP6V0C,63
ATP6V0D1,56
ATP6V1A,45
ATP6V1B2,38
ATP6V1C1,22
ATP6V1D,36
ATP6V1E1,34
ATP6V1F,37
ATP6V1G1,68
ATP6V1H,62
ATP11B,62
ATR,100
ATRIP,41
ATXN10,20
AURKA,114
AURKAIP1,56
AURKB,3
BAG6,39
BANF1,26
BANP,57
BAP1,100
BARD1,50
BCAR1,346
BCAS2,8
BCL2L1,119
BCLAF1,38
BCR,42
BCS1L,38
BDP1,33
BET1,36
BGLAP,20
BIRC5,8
BMP2K,17
BMS1,114
BNIP1,17
BOD1L1,45
BOP1,126
BORA,56
BPTF,242
BRCA1,47
BRCA2,115
BRD2,51
BRD4,24
BRD8,21
BRF1,63
BRF2,46
BRIP1,58
BRIX1,102
BRK1,28
BTAF1,35
BTF3,212
BTF3L4,81
BUB1,67
BUB1B,103
BUB3,30
BUD13,28
BUD23,34
BUD31,32
BYSL,42
C1D,29
C1QBP,32
C1QTNF4,43
C1orf109,80
C1orf131,43
C5orf30,47
C6orf15,50
C7orf26,216
C7orf50,26
C9orf16,72
C9orf78,48
C12orf45,54
C12orf60,34
C14orf178,125
C16orf86,59
C17orf58,56
C18orf21,33
C19orf25,38
C19orf53,36
CA5A,62
CABIN1,61
CACNB3,75
CACTIN,39
CAD,28
CADM4,79
CALR,86
CAMLG,26
CAP1,21
CAPZB,13
CARF,53
CARS,26
CASC3,31
CASP8AP2,20
CAST,32
CBFA2T3,39
CBLL1,21
CBLN1,60
CBX1,51
CCAR1,33
CCDC6,413
CCDC59,127
CCDC78,198
CCDC84,21
CCDC86,35
CCDC115,69
CCDC130,145
CCDC137,25
CCDC144A,31
CCDC144NL,80
CCDC174,43
CCNA2,17
CCNB1,43
CCNC,52
CCND1,40
CCND3,41
CCNH,98
CCNK,96
CCNL1,33
CCNQ,28
CCP110,44
CCT2,73
CCT3,49
CCT4,87
CCT5,44
CCT6A,96
CCT7,111
CCT8,68
CD2BP2,32
CD3EAP,91
CD8B,79
CDAN1,48
CDC5L,27
CDC6,72
CDC7,13
CDC16,49
CDC20,75
CDC23,23
CDC26,30
CDC27,9
CDC37,44
CDC40,4
CDC42,118
CDC45,32
CDC73,66
CDC123,52
CDCA5,93
CDCA8,2
CDIPT,54
CDK1,139
CDK2,79
CDK6,71
CDK7,18
CDK9,68
CDK11A,26
CDK12,17
CDT1,99
CEBPG,42
CEBPZ,132
CENPA,44
CENPC,34
CENPE,15
CENPH,30
CENPI,17
CENPJ,92
CENPK,99
CENPN,41
CENPP,59
CENPT,70
CENPW,44
CEP68,37
CEP85,57
CEP97,39
CEP152,20
CEP192,28
CFDP1,52
CFL1,34
CHAF1A,28
CHAF1B,54
CHCHD1,39
CHCHD2,37
CHCHD3,16
CHCHD4,63
CHD4,38
CHEK1,65
CHERP,96
CHMP1A,13
CHMP2A,15
CHMP3,3
CHMP4B,37
CHMP5,30
CHMP6,67
CHMP7,31
CHORDC1,57
CHTF8,14
CHTF18,95
CHTOP,41
CIAO1,78
CIAPIN1,99
CINP,24
CKAP5,60
CLASRP,152
CLCC1,28
CLK2,16
CLNS1A,10
CLOCK,228
CLP1,18
CLPB,37
CLSPN,26
CLTC,19
CMC4,28
CMPK1,64
CMTR1,59
CMTR2,32
CNIH4,30
CNN2,75
CNOT1,62
CNOT2,37
CNOT3,21
CNOT9,56
CNOT10,86
CNOT11,57
COA5,47
COASY,37
COG1,55
COG2,32
COG3,8
COG4,39
COG6,61
COG8,29
COMTD1,42
COPA,17
COPB1,35
COPB2,21
COPE,7
COPG1,32
COPS2,78
COPS3,40
COPS4,63
COPS5,42
COPS6,27
COPS8,66
COPZ1,55
COQ2,70
COQ4,48
COQ5,32
COTL1,60
COX5A,37
COX5B,23
COX6C,24
COX7B,26
COX7C,43
COX10,64
COX11,99
COX15,26
COX17,21
CPAMD8,66
CPEB1,100
CPNE1,19
CPNE7,80
CPOX,23
CPSF1,59
CPSF2,6
CPSF3,200
CPSF4,65
CPSF6,40
CRCP,23
CRKL,20
CRLS1,29
CRNKL1,22
CS,77
CSDE1,49
CSE1L,240
CSH2,79
CSNK1A1,30
CSNK2B,111
CSTF1,265
CSTF3,70
CT45A5,28
CTBP2,45
CTCF,49
CTDP1,83
CTNNBL1,43
CTPS1,27
CTR9,11
CTU2,58
CUL1,49
CUL2,70
CUL3,35
CUL7,54
CWC15,45
CWC22,34
CWC25,27
CWF19L2,25
CXXC1,24
CYC1,47
CYCS,23
CYFIP1,33
CYP2A13,39
CYP4F11,34
CYREN,43
CYS1,53
DAD1,12
DAP3,60
DARS,48
DAXX,41
DBF4,23
DBR1,76
DCAF6,44
DCLRE1B,43
DCTN1,70
DCTN2,69
DCTN3,80
DCTN4,66
DCTN5,24
DCTN6,37
DCUN1D5,89
DDB1,94
DDN,100
DDOST,41
DDX1,55
DDX3X,36
DDX5,99
DDX6,53
DDX10,90
DDX11,27
DDX17,62
DDX18,66
DDX19A,175
DDX19B,145
DDX20,45
DDX21,77
DDX23,167
DDX24,26
DDX27,109
DDX41,32
DDX42,27
DDX46,166
DDX47,217
DDX49,16
DDX51,147
DDX52,95
DDX54,88
DDX55,136
DDX56,57
DDX59,10
DENR,54
DEPDC5,41
DERL2,73
DESI1,55
DGCR8,19
DHDDS,19
DHFR,21
DHODH,45
DHPS,35
DHX8,61
DHX9,21
DHX15,48
DHX16,75
DHX29,34
DHX30,49
DHX33,34
DHX36,45
DHX37,124
DICER1,32
DIMT1,78
DIS3,20
DKC1,42
DLD,102
DMAP1,25
DMRTA2,50
DNAAF3,115
DNAJA1,65
DNAJA3,61
DNAJC8,84
DNAJC9,19
DNAJC11,19
DNAJC17,60
DNAJC19,52
DNLZ,33
DNM1,116
DNM1L,39
DNM2,14
DNMT1,82
DNTTIP2,55
DOHH,86
DOLK,73
DONSON,30
DPAGT1,31
DPH1,84
DPH2,52
DPH3,43
DPH6,42
DPM2,31
DPPA2,34
DPY19L2,36
DPY19L4,87
DR1,29
DRAP1,52
DRG1,32
DROSHA,5
DSN1,26
DSTYK,69
DTL,64
DTYMK,25
DUT,18
DYNC1H1,35
DYNC1I2,58
DYNLL1,55
DYNLL2,81
DYNLRB1,124
E2F6,57
E4F1,82
EARS2,51
EBNA1BP2,58
ECD,34
ECT2,20
EDC4,50
EEF1A1,35
EEF1B2,35
EEF1G,29
EEF2,76
EEFSEC,56
EFR3A,70
EFTUD2,54
EGLN2,55
EHMT2,101
EIF1,60
EIF1AD,40
EIF1AX,86
