source_target_gene,n_cells
AAAS,66
AAMP,43
AAR2,47
AARS,56
AARS2,101
AASDHPPT,101
AATF,111
ABCB7,75
ABCB10,99
ABCE1,59
ABCF1,145
ABCG1,162
ABHD11,99
ABHD17A,158
ABT1,167
AC118549.1,124
ACD,39
ACIN1,223
ACOT12,176
ACSS2,86
ACTB,138
ACTL6A,12
ACTR1A,113
ACTR1B,123
ACTR2,89
ACTR3,48
ACTR5,104
ACTR6,102
ACTR8,124
ACTR10,73
ADAM10,290
ADAT2,83
ADAT3,364
ADNP2,61
ADRM1,115
ADSL,67
AFG3L2,107
AGBL5,36
AHCTF1,29
AHCY,58
AIFM1,100
AKIRIN2,68
ALDOA,78
ALG1,97
ALG1L,210
ALG2,80
ALG11,76
ALG13,99
ALG14,107
ALYREF,69
ANAPC1,31
ANAPC2,20
ANAPC4,4
ANAPC5,16
ANAPC10,43
ANAPC11,80
ANAPC13,129
ANAPC15,452
ANKLE2,20
ANKRD11,250
ANKRD17,16
ANKRD39,36
ANKRD49,69
ANKS6,167
ANLN,54
AP2A1,62
AP2M1,146
AP2S1,27
AQP7,124
AQR,30
ARCN1,129
ARF4,61
ARFRP1,83
ARGFX,105
ARGLU1,64
ARHGAP6,68
ARHGAP11B,78
ARID3A,107
ARID5B,152
ARIH1,41
ARL2,44
ARL4D,113
ARL6IP6,65
ARMC6,83
ARMC7,168
ARPC1B,19
ARPC2,140
ARPC3,128
ARPC4,148
ARRB2,19
ASCC3,103
ASF1B,92
ATF4,52
ATF5,23
ATIC,37
ATL2,63
ATP1A1,118
ATP2A2,131
ATP5F1A,72
ATP5F1B,64
ATP5F1C,22
ATP5MD,41
ATP5ME,131
ATP5MF,239
ATP5PD,150
ATP5PO,77
ATP6AP1,7
ATP6AP2,47
ATP6V0B,44
ATP6V0C,18
ATP6V0D1,45
ATP6V1A,27
ATP6V1B2,38
ATP6V1C1,6
ATP6V1D,56
ATP6V1E1,22
ATP6V1F,30
ATP6V1G1,75
ATP6V1H,17
ATP11B,192
ATR,126
ATRIP,54
ATXN10,61
AURKA,18
AURKAIP1,103
AURKB,3
BAG6,94
BANF1,34
BANP,53
BAP1,200
BARD1,61
BCAR1,782
BCAS2,23
BCL2L1,94
BCLAF1,57
BCR,76
BCS1L,79
BDP1,64
BET1,82
BGLAP,15
BIRC5,6
BMP2K,39
BMS1,182
BNIP1,109
BOD1L1,58
BOP1,328
BORA,17
BPTF,62
BRCA1,141
BRCA2,161
BRD2,100
BRD4,70
BRD8,55
BRF1,103
BRF2,58
BRIP1,81
BRIX1,151
BRK1,68
BTAF1,96
BTF3,255
BTF3L4,221
BUB1,12
BUB1B,47
BUB3,27
BUD13,40
BUD23,39
BUD31,25
BYSL,103
C1D,69
C1QBP,21
C1QTNF4,92
