source_target_gene,n_cells
AAAS,212
AAMP,99
AARS,40
AARS2,181
AASDHPPT,49
AATF,298
ABCB7,199
ABCB10,51
ABCE1,249
ABCF1,329
ABCG1,144
ABHD11,49
ABHD17A,95
ABT1,107
ACD,77
ACIN1,191
ACOT12,180
ACTB,168
ACTL6A,55
ACTR1A,143
ACTR1B,206
ACTR2,236
ACTR3,118
ACTR6,108
ACTR8,252
ACTR10,116
ADAT2,85
ADAT3,125
ADRM1,105
ADSL,133
AFG3L2,15
AHCTF1,290
AHCY,147
AIFM1,50
AKIRIN2,169
ALDOA,78
ALG1,69
ALG1L,216
ALG2,247
ALG11,97
ALG13,170
ALG14,183
ALYREF,319
ANAPC1,124
ANAPC2,237
ANAPC4,63
ANAPC5,40
ANAPC10,29
ANAPC11,77
ANAPC13,112
ANAPC15,424
ANKLE2,126
ANKRD11,260
ANKRD49,144
ANKS6,95
ANLN,96
AP2M1,215
AP2S1,123
AQP7,108
AQR,90
ARCN1,333
ARF4,89
ARFRP1,138
ARGFX,84
ARGLU1,498
ARHGAP11B,212
ARID3A,31
ARIH1,59
ARL2,74
ARL4D,120
ARMC6,86
ARMC7,110
ARPC2,227
ARPC3,141
ARPC4,220
ASF1B,284
ATF4,72
ATF5,141
ATL2,120
ATP1A1,84
ATP2A2,158
ATP6AP1,119
ATP6AP2,175
ATP6V0B,147
ATP6V0C,53
ATP6V0D1,101
ATP6V1A,96
ATP6V1B2,442
ATP6V1C1,59
ATP6V1D,139
ATP6V1E1,188
ATP6V1F,72
ATP6V1G1,67
ATP6V1H,84
ATR,141
ATRIP,184
AURKA,58
AURKAIP1,76
AURKB,33
BANF1,162
BANP,110
BAP1,200
BARD1,140
BCAR1,246
BCAS2,227
BCL2L1,173
BCLAF1,51
BCR,561
BCS1L,70
BDP1,331
BET1,131
BGLAP,236
BIRC5,46
BMS1,28
BNIP1,111
BOP1,253
BORA,55
BPTF,56
BRCA1,104
BRCA2,147
BRD4,116
BRD8,77
BRF1,166
BRF2,174
BRIP1,132
BRIX1,132
BRK1,180
BTF3,79
BTF3L4,141
BUB1,648
BUB1B,141
BUB3,409
BUD13,174
BUD31,37
BYSL,98
C1D,160
C1QBP,210
C1QTNF4,199
C1orf109,240
C6orf15,164
C7orf26,86
C7orf50,93
C9orf16,212
C9orf78,201
C12orf45,100
C12orf60,110
C14orf178,143
C16orf86,184
C17orf58,58
C19orf25,189
C19orf53,169
CA5A,190
CACNB3,316
CACTIN,60
CADM4,381
CAMLG,99
CAP1,26
CAPZB,83
CARS,19
CASP8AP2,211
CBLL1,102
CBLN1,214
CBX1,151
CCAR1,48
CCDC59,125
CCDC78,142
CCDC84,79
CCDC86,253
CCDC115,211
CCDC130,113
CCDC137,198
CCDC144A,117
CCDC144NL,87
CCDC174,104
CCNA2,24
CCNB1,158
CCND1,146
CCNH,79
CCNK,327
CCNL1,177
CCP110,47
CCT2,199
CCT3,234
CCT4,251
CCT5,66
CCT6A,131
CCT7,152
CCT8,111
CD2BP2,132
CD3EAP,88
CD8B,112
CDAN1,137
CDC5L,99
CDC6,192
CDC7,95
CDC16,165
CDC20,115
CDC23,177
CDC26,45
CDC27,366
CDC37,174
CDC40,107
CDC42,70
CDC45,92
CDC73,171
CDC123,112
CDCA5,61
CDCA8,82
CDIPT,247
CDK1,347
CDK2,105
CDK7,18
CDK9,140
CDK11A,269
CDT1,28
CEBPZ,113
CENPA,76
CENPC,124
CENPE,177
CENPH,63
CENPI,42
CENPJ,282
CENPK,97
CENPN,147
CENPT,65
CENPW,72
CEP68,68
CEP85,129
CEP97,135
CEP152,153
CEP192,202
CFDP1,157
CFL1,23
CHAF1A,38
CHAF1B,84
CHCHD1,84
CHCHD2,90
CHCHD4,140
CHD4,44
CHEK1,295
CHERP,67
CHMP1A,78
CHMP2A,93
CHMP3,130
CHMP4B,71
CHMP5,110
CHMP6,624
CHMP7,240
CHORDC1,259
CHTF8,45
CHTF18,97
CHTOP,149
CIAO1,255
CIAPIN1,151
CINP,78
CKAP5,315
CLASRP,127
CLCC1,47
CLK2,88
CLNS1A,53
CLP1,55
CLSPN,134
CLTC,157
CMPK1,173
CMTR1,145
CNIH4,67
CNN2,197
CNOT1,269
CNOT2,84
CNOT3,332
COA5,175
COASY,247
COG1,40
COG2,343
COG3,56
COG4,129
COG6,183
COG8,47
COPA,243
COPB1,91
COPB2,129
COPE,143
COPG1,261
COPS2,47
COPS3,73
COPS4,262
COPS5,98
COPS6,235
COPS8,224
COPZ1,207
COQ2,67
COQ4,162
COQ5,113
COX5A,85
COX5B,118
COX6C,117
COX7B,120
COX7C,165
COX10,94
COX11,109
COX15,103
COX17,143
CPAMD8,233
CPNE7,101
CPOX,101
CPSF1,50
CPSF2,20
CPSF3,627
CPSF4,59
CPSF6,50
CRCP,160
CRKL,120
CRLS1,111
CRNKL1,261
CS,222
CSE1L,432
CSH2,179
CSNK1A1,172
CSNK2B,128
CSTF1,141
CSTF3,66
CTBP2,110
CTCF,68
CTDP1,117
CTNNBL1,69
CTPS1,14
CTR9,212
CTU2,114
CUL1,223
CUL2,94
CUL3,120
CUL7,33
CWC15,184
CWC22,34
CWC25,149
CWF19L2,194
CXXC1,122
CYC1,98
CYCS,163
CYFIP1,111
CYP2A13,140
CYP4F11,120
CYS1,170
DAD1,80
DAP3,162
DARS,70
DBF4,131
DBR1,98
DCAF6,137
DCLRE1B,117
DCTN1,197
DCTN2,126
DCTN3,201
DCTN4,77
DCTN5,141
DCTN6,64
DCUN1D5,183
DDB1,177
DDN,249
DDOST,86
DDX1,101
DDX3X,29
DDX5,151
DDX6,76
DDX10,104
DDX11,128
DDX18,137
DDX19A,103
DDX19B,285
DDX20,114
DDX21,90
DDX23,159
DDX24,286
DDX27,49
DDX41,292
DDX42,44
DDX46,214
DDX47,313
DDX49,45
DDX51,128
DDX52,117
DDX54,95
DDX55,163
DDX56,174
DDX59,154
DENR,251
DERL2,124
DHDDS,96
DHFR,125
DHODH,223
DHPS,66
DHX8,115
DHX9,92
DHX15,359
DHX16,328
DHX33,140
DHX36,269
DHX37,217
DICER1,158
DIMT1,94
DIS3,43
DKC1,66
DLD,311
DMAP1,78
DMRTA2,107
DNAJA1,292
DNAJA3,127
DNAJC8,277
DNAJC9,84
DNAJC11,46
DNAJC17,31
DNAJC19,398
DNLZ,140
DNM1,146
DNM1L,168
DNM2,12
DNMT1,170
DNTTIP2,264
DOHH,155
DOLK,146
DONSON,745
DPAGT1,135
DPH1,335
DPH2,164
DPH3,60
DPH6,101
DPM2,153
DPPA2,67
DPY19L2,50
DR1,126
DRAP1,227
DRG1,196
DSN1,245
DTL,136
DTYMK,121
DUT,49
DYNC1H1,291
DYNC1I2,300
DYNLL1,71
DYNLRB1,282
E2F6,150
E4F1,134
EARS2,192
EBNA1BP2,82
ECD,72
ECT2,55
EDC4,166
EEF1A1,37
EEF1B2,32
EEF1G,175
EEF2,321
EFTUD2,127
EGLN2,362
EIF1,95
EIF1AD,33
EIF1AX,134
EIF2B1,178
EIF2B2,319
EIF2B3,104
EIF2B4,324
EIF2B5,461
EIF2S1,243
EIF2S2,120
EIF2S3,57
EIF3A,379
EIF3B,34
EIF3CL,44
EIF3D,186
EIF3E,232
EIF3F,67
EIF3G,67
EIF3H,369
EIF3I,61
EIF3J,82
EIF3L,57
EIF3M,246
EIF4A1,46
EIF4A3,7
EIF4B,41
EIF4E,357
EIF4G1,372
EIF4G2,342
EIF5,175
EIF5A,140
EIF6,129
ELAC2,85
ELL,83
ELOVL1,176
ELP2,189
ELP3,119
ELP5,177
ELP6,83
EMC1,83
EMC3,195
EMC4,55
EMC7,193
ENO1,70
EP400,82
EPRS,79
ERAL1,116
ERCC2,117
ERCC3,163
ERH,86
ERVW-1,175
ESF1,149
ESPL1,120
ESPN,421
ETF1,52
EWSR1,48
EXOC1,182
EXOC2,88
EXOC3,247
EXOC4,108
EXOC5,110
EXOC7,32
EXOC8,18
EXOSC1,77
EXOSC2,226
EXOSC3,53
EXOSC4,102
EXOSC5,41
EXOSC6,75
EXOSC7,113
EXOSC8,126
EXOSC9,40
EXOSC10,92
F8A1,28
FAF2,165
FAM32A,396
FAM50A,38
FAM72D,120
FAM133B,25
FAM136A,50
FAM207A,103
FAM229A,137
FARS2,40
FARSA,138
FARSB,97
FASTKD5,187
FAU,48
FBL,132
FBLIM1,133
FBXO5,326
FCF1,231
FDPS,10
FDXR,140
FEN1,141
FGFR1OP,119
FIP1L1,21
FNBP4,160
FNTA,80
FNTB,102
FOLR3,304
FOXD4,94
FOXL2,164
FRG2,51
FTSJ3,207
FXN,174
GAB2,674
GABPA,110
GAK,167
GAPDH,183
GAR1,146
GARS,256
GATA1,108
GBF1,161
GCOM1,62
GEMIN4,81
GEMIN5,133
GEMIN6,84
GEMIN7,136
GEMIN8,86
GET1,73
GET3,121
GFER,222
GFM1,240
GGPS1,167
GINS1,186
GINS2,148
GINS3,100
GINS4,60
GIT2,107
GJA3,73
GLE1,57
GLI4,156
GLMN,79
GLRX3,136
GLRX5,99
GMPPB,164
GMPS,123
GNB1L,76
GNL2,351
GNL3,38
GNL3L,69
GNPNAT1,112
GOLGA6L1,197
GOLT1B,279
GON4L,237
GOSR2,84
GPKOW,107
GPN1,86
GPN2,44
GPN3,276
GPR61,112
GPS1,431
GRB2,169
GRPEL1,123
GRSF1,172
GRWD1,189
GSDMA,110
GSPT1,108
GTF2A1,113
GTF2A2,173
GTF2B,35
GTF2E1,181
GTF2E2,70
GTF2F1,41
GTF2F2,59
GTF2H1,434
GTF2H2,156
GTF2H2C,126
GTF2H3,76
GTF2H4,115
GTF3A,88
GTF3C1,160
GTF3C2,114
GTF3C3,132
GTF3C4,129
GTF3C5,166
GTF3C6,243
GTPBP4,71
GUCD1,279
GUK1,118
H2AFX,139
H2AFZ,106
H3F3A,237
HAMP,33
HAPLN2,121
HARS,289
HARS2,62
HAUS1,53
HAUS3,164
HAUS4,189
HAUS5,160
HAUS6,33
HAUS7,239
HAUS8,122
HBS1L,143
HCFC1,55
HCRTR1,116
HDAC3,60
HDAC7,171
HEATR1,234
HECTD1,130
HGS,99
HINFP,160
HIRA,341
HIST1H2AB,97
HIST1H2AE,123
HIST1H2AI,56
HIST1H2BB,135
HIST1H2BC,64
HIST1H2BE,55
HIST1H2BJ,43
HIST1H2BL,204
HIST1H2BM,156
HIST1H2BN,107
HIST2H2AA3,67
HIST2H2AC,73
HIST2H2BE,31
HIST2H2BF,127
HIST2H3A,79
HIST2H3D,185
HJURP,111
HLA-C,44
HMGA1,114
HMGB1,241
HMGCR,166
HMGCS1,230
HMGN2,107
HNRNPC,334
HNRNPH1,160
HNRNPK,25
HNRNPL,80
HNRNPM,258
HNRNPR,149
HNRNPU,93
HOXC10,83
HS6ST1,172
HSCB,86
HSD17B10,26
HSD17B12,142
HSF1,131
HSP90B1,114
HSPA5,438
HSPA8,255
HSPA9,420
HSPA14,120
HSPD1,145
HSPE1,29
HTATSF1,96
HUS1,201
HUWE1,94
HYOU1,37
HYPK,121
IARS,58
IARS2,216
ICE1,429
IFITM2,150
IFITM3,20
IGBP1,281
IK,289
ILF2,56
ILF3,138
IMP3,27
IMP4,164
IMPDH2,77
INCENP,59
ING3,65
INO80,151
INO80B,116
INTS1,211
INTS2,354
INTS3,106
INTS4,48
INTS5,64
INTS6,146
INTS7,79
INTS8,323
INTS9,229
IPO7,75
IPO9,187
IPO11,72
IPO13,51
ISCA2,232
