source_target_gene,n_cells
A1BG,387
AAAS,411
AACS,176
AAGAB,99
AAK1,240
AAMDC,195
AAMP,157
AAR2,93
AARS,46
AARS2,358
AARSD1,367
AASDH,85
AASDHPPT,177
AATF,182
ABCA7,708
ABCA8,46
ABCB6,235
ABCB7,244
ABCB8,88
ABCB9,532
ABCB10,38
ABCC1,201
ABCC4,170
ABCC5,306
ABCC10,131
ABCD3,207
ABCD4,117
ABCE1,120
ABCF1,490
ABCF2,217
ABCF3,260
ABCG1,294
ABHD2,229
ABHD3,50
ABHD5,143
ABHD6,295
ABHD8,192
ABHD10,148
ABHD11,155
ABHD12,233
ABHD13,113
ABHD14A,210
ABHD14B,802
ABHD16A,223
ABHD17A,250
ABHD17B,58
ABI1,85
ABI2,179
ABITRAM,225
ABL1,226
ABL2,460
ABO,553
ABR,66
ABRACL,224
ABRAXAS1,230
ABRAXAS2,201
ABT1,202
AC015871.1,229
AC118549.1,158
ACAA1,249
ACAA2,204
ACACA,166
ACAD8,208
ACAD9,131
ACAD10,141
ACADM,127
ACADS,103
ACADSB,216
ACADVL,268
ACAP2,160
ACAP3,179
ACAT1,213
ACAT2,152
ACBD3,237
ACBD5,238
ACBD6,214
ACCS,110
ACD,153
ACER3,311
ACIN1,355
ACLY,90
ACO1,157
ACO2,155
ACOT7,348
ACOT8,119
ACOT9,247
ACOT12,422
ACOT13,147
ACOX1,178
ACP1,49
ACP2,57
ACP5,363
ACSF3,89
ACSL1,406
ACSL3,130
ACSL4,93
ACSM3,75
ACSS2,132
ACTB,363
ACTG1,19
ACTL6A,62
ACTN1,273
ACTN4,305
ACTR1A,451
ACTR1B,517
ACTR2,498
ACTR3,261
ACTR3B,117
ACTR3C,122
ACTR5,50
ACTR6,184
ACTR8,408
ACTR10,99
ACVR1B,212
ACVR2B,115
ACY1,70
ACYP1,236
ACYP2,85
ADA,173
ADAL,119
ADAM9,214
ADAM10,84
ADAM15,117
ADAM17,258
ADAMTS3,135
ADAMTS14,140
ADAMTSL4,101
ADAR,394
ADARB1,374
ADAT1,192
ADAT2,175
ADAT3,318
ADCK2,309
ADCK5,81
ADCY3,262
ADCY7,60
ADD1,280
ADD2,210
ADD3,207
ADH5,171
ADI1,100
ADIPOR1,143
ADIPOR2,241
ADK,219
ADNP,156
ADNP2,87
ADO,150
ADORA2B,174
ADPGK,93
ADPRHL2,151
ADRM1,403
ADSL,255
ADSS,87
ADTRP,141
AEBP1,255
AEBP2,167
AEN,321
AFF1,142
AFF4,154
AFG3L2,26
AFMID,88
AFTPH,156
AGA,30
AGAP1,105
AGAP3,90
AGBL5,372
AGFG1,243
AGFG2,293
AGGF1,189
AGK,90
AGL,166
AGO1,165
AGO2,42
AGO3,188
AGPAT1,261
AGPAT2,115
AGPAT3,163
AGPAT4,207
AGPAT5,97
AGPS,163
AGRN,126
AGTRAP,47
AHCTF1,584
AHCY,198
AHCYL1,314
AHDC1,170
AHI1,120
AHNAK,531
AHR,128
AHRR,145
AHSA1,73
AHSA2,236
AHSP,132
AIDA,244
AIF1,251
AIFM1,150
AIFM2,172
AIG1,106
AIMP1,283
AIMP2,182
AIP,34
AIRE,155
AK1,201
AK2,210
AK3,184
AK4,173
AKAP1,126
AKAP8,184
AKAP8L,139
AKAP9,156
AKAP11,84
AKAP13,259
AKAP17A,81
AKIP1,87
AKIRIN1,126
AKIRIN2,277
AKNA,417
AKR1A1,76
AKR1C1,122
AKR1C2,208
AKR1E2,182
AKR7A2,254
AKT1,228
AKT1S1,193
AKT2,105
ALAD,222
ALAS1,108
ALAS2,47
ALDH1A1,173
ALDH1A2,202
ALDH1B1,269
ALDH2,276
ALDH4A1,229
ALDH5A1,201
ALDH9A1,201
ALDH16A1,78
ALDH18A1,195
ALDOA,133
ALDOC,71
ALG1,182
ALG1L,378
ALG2,372
ALG3,183
ALG5,224
ALG6,248
ALG8,139
ALG9,97
ALG11,277
ALG12,168
ALG13,327
ALG14,285
ALKBH2,164
ALKBH3,252
ALKBH4,145
ALKBH5,143
ALKBH6,178
ALKBH7,274
ALKBH8,245
ALMS1,171
ALS2,50
ALX1,76
ALX3,129
ALX4,262
ALYREF,312
AMBRA1,249
AMD1,29
AMDHD2,133
AMFR,292
AMH,280
AMHR2,184
AMMECR1,205
AMN1,98
AMOTL1,99
AMPD2,616
AMPD3,85
AMZ2,228
ANAPC1,114
ANAPC2,166
ANAPC4,12
ANAPC5,45
ANAPC7,160
ANAPC10,15
ANAPC11,195
ANAPC13,257
ANAPC15,1091
ANAPC16,110
ANGEL2,110
ANGPT1,185
ANHX,210
ANK1,99
ANK3,48
ANKFY1,220
ANKHD1,191
ANKIB1,67
ANKLE1,85
ANKLE2,288
ANKMY1,162
ANKMY2,173
ANKRA2,123
ANKRD9,142
ANKRD10,163
ANKRD11,563
ANKRD12,206
ANKRD13A,59
ANKRD13B,495
ANKRD13C,132
ANKRD13D,337
ANKRD16,131
ANKRD17,77
ANKRD26,229
ANKRD27,245
ANKRD28,79
ANKRD33B,237
ANKRD36,153
ANKRD36C,103
ANKRD39,78
ANKRD40,346
ANKRD46,362
ANKRD49,311
ANKRD52,13
ANKRD54,82
ANKS1A,89
ANKS3,210
ANKS6,220
ANKZF1,252
ANLN,166
ANO6,134
ANO10,241
ANP32A,95
ANP32B,260
ANP32E,154
ANTKMT,211
ANTXR2,171
ANXA1,119
ANXA2,221
ANXA2R,100
ANXA3,217
ANXA4,126
ANXA5,264
ANXA6,238
ANXA7,159
ANXA11,133
AOPEP,140
AP1AR,241
AP1B1,443
AP1G1,169
AP1G2,236
AP1M1,211
AP1S1,158
AP1S2,179
AP2A1,90
AP2A2,193
AP2B1,228
AP2M1,572
AP2S1,169
AP3B1,206
AP3D1,102
AP3M1,85
AP3M2,184
AP3S1,318
AP3S2,157
AP4B1,122
AP4M1,134
AP4S1,90
AP5B1,74
AP5M1,208
AP5S1,130
AP5Z1,234
APAF1,261
APBA2,246
APBA3,288
APBB3,63
APC,361
APEH,84
APEX1,206
APEX2,94
APH1A,166
APH1B,185
API5,206
APIP,188
APLP1,176
APLP2,242
APMAP,217
APOBEC3B,187
APOBEC3C,224
APOBEC3G,291
APOBR,178
APOC1,265
APOE,129
APOL2,176
APOM,160
APOO,144
APOOL,115
APPBP2,103
APPL1,117
APRT,119
APTX,248
AQP3,292
AQP7,260
AQP10,161
AQR,19
AR,117
ARAF,222
ARAP1,286
ARCN1,253
AREG,105
AREL1,154
ARF1,174
ARF3,268
ARF4,194
ARF5,452
ARF6,357
ARFGAP1,260
ARFGAP2,160
ARFGAP3,73
ARFGEF1,243
ARFGEF2,23
ARFIP1,221
ARFIP2,87
ARFRP1,391
ARG2,150
ARGFX,187
ARGLU1,673
ARHGAP1,153
ARHGAP4,322
ARHGAP5,332
ARHGAP6,164
ARHGAP11A,109
ARHGAP11B,443
ARHGAP12,167
ARHGAP17,88
ARHGAP18,154
ARHGAP19,105
ARHGAP21,321
ARHGAP22,198
ARHGAP24,173
ARHGAP25,171
ARHGAP35,181
ARHGAP45,149
ARHGDIA,179
ARHGDIB,219
ARHGEF1,607
ARHGEF2,132
ARHGEF6,76
ARHGEF7,202
ARHGEF9,82
ARHGEF10,350
ARHGEF11,164
ARHGEF12,262
ARHGEF18,321
ARHGEF25,211
ARHGEF39,219
ARID1A,271
ARID1B,480
ARID2,200
ARID3A,54
ARID3B,274
ARID3C,203
ARID4A,251
ARID4B,66
ARID5A,222
ARID5B,260
ARIH1,91
ARIH2,129
ARL1,117
ARL2,26
ARL2BP,398
ARL3,221
ARL4A,209
ARL4D,333
ARL5A,88
ARL5B,189
ARL6IP1,305
ARL6IP4,137
ARL6IP5,179
ARL6IP6,211
ARL8A,215
ARL8B,227
ARL11,192
ARL13B,129
ARL14EP,233
ARL15,254
ARL16,203
ARL17A,212
ARMC1,211
ARMC5,204
ARMC6,132
ARMC7,169
ARMC8,182
ARMC10,204
ARMCX3,196
ARMCX5,134
ARMCX6,215
ARNT,95
ARNT2,115
ARNTL,265
ARNTL2,310
ARPC1A,229
ARPC1B,77
ARPC2,483
ARPC3,342
ARPC4,381
ARPC4-TTLL3,355
ARPC5,172
ARPC5L,257
ARPP19,239
ARRB1,55
ARRB2,81
ARRDC1,244
ARRDC2,386
ARRDC3,129
ARRDC4,266
ARSK,158
ARV1,179
ARVCF,445
ARX,439
ASAH1,208
ASAH2B,217
ASAP1,251
ASAP3,221
ASB1,283
ASB3,245
ASB6,112
ASB7,34
ASB8,10
ASB13,659
ASCC1,103
ASCC2,182
ASCC3,128
ASCL1,227
ASCL2,186
ASCL3,39
ASCL4,142
ASCL5,89
ASF1A,200
ASF1B,680
ASH1L,306
ASH2L,66
ASIC4,293
ASL,110
ASMTL,79
ASNS,144
ASNSD1,240
ASPH,224
ASPM,286
ASPSCR1,131
ASRGL1,287
ASXL1,307
ASXL2,249
ATAD1,157
ATAD2,67
ATAD2B,164
ATAD3A,72
ATAD3B,75
ATAD5,181
ATE1,226
ATF1,348
ATF2,188
ATF3,310
ATF4,103
ATF5,50
ATF6,127
ATF6B,194
ATF7,28
ATF7IP,333
ATF7IP2,163
ATG2A,120
ATG2B,79
ATG3,193
ATG4A,118
ATG4B,187
ATG4C,173
ATG4D,133
ATG5,180
ATG7,281
ATG9A,147
ATG10,144
ATG12,44
ATG13,134
ATG16L1,100
ATIC,74
ATL2,157
ATL3,168
ATM,157
ATMIN,144
ATN1,192
ATOH1,193
ATOH7,113
ATOH8,241
ATOX1,128
ATP1A1,118
ATP1B3,133
ATP2A2,297
ATP2A3,166
ATP2B1,148
ATP2B4,71
ATP2C1,91
ATP5F1A,175
ATP5F1B,98
ATP5F1C,73
ATP5F1D,159
ATP5F1E,25
ATP5IF1,108
ATP5MC1,294
ATP5MC2,112
ATP5MC3,133
ATP5MD,86
ATP5ME,183
ATP5MF,375
ATP5MG,92
ATP5MPL,34
ATP5PB,36
ATP5PD,110
ATP5PF,115
ATP5PO,215
ATP6AP1,170
ATP6AP2,384
ATP6V0A1,133
ATP6V0A2,108
ATP6V0B,294
ATP6V0C,42
ATP6V0D1,198
ATP6V0E1,197
ATP6V0E2,86
ATP6V1A,29
ATP6V1B2,169
ATP6V1C1,93
ATP6V1D,337
ATP6V1E1,283
ATP6V1E2,278
ATP6V1F,100
ATP6V1G1,190
ATP6V1H,147
ATP7A,213
ATP7B,103
ATP8B2,189
ATP9B,177
ATP11A,271
ATP11B,193
ATP11C,47
ATP13A1,74
ATP13A2,382
ATP13A3,122
ATP23,184
ATPAF1,148
ATPAF2,264
ATPSCKMT,70
ATR,78
ATRAID,144
ATRIP,164
ATRX,413
ATXN1L,109
ATXN2,121
ATXN2L,139
ATXN3,342
ATXN7,481
ATXN7L1,165
ATXN7L3,318
ATXN7L3B,132
ATXN10,75
AUH,144
AUNIP,262
AUP1,238
AURKA,24
AURKAIP1,129
AURKB,40
AVEN,152
AVL9,310
AVPI1,201
AXIN1,124
AXL,236
AZI2,159
AZIN1,31
B2M,277
B3GALNT2,185
B3GALT6,261
B3GAT3,213
