source_target_gene,n_cells
AAAS,86
AAMP,14
AAR2,11
AARS,59
AARS2,95
AASDHPPT,62
AATF,29
ABCB7,45
ABCB10,27
ABCE1,54
ABCF1,157
ABCG1,134
ABHD11,56
ABHD17A,187
ABT1,26
AC118549.1,62
ACD,45
ACIN1,162
ACOT12,203
ACSS2,81
ACTB,235
ACTL6A,15
ACTR1A,139
ACTR1B,175
ACTR2,69
ACTR3,21
ACTR5,63
ACTR6,104
ACTR8,88
ACTR10,29
ADAM10,384
ADAT2,72
ADAT3,286
ADNP2,25
ADRM1,85
ADSL,127
AFG3L2,85
AGBL5,41
AHCTF1,79
AHCY,89
AIFM1,115
AKIRIN2,31
ALDOA,73
ALG1,82
ALG1L,212
ALG2,78
ALG11,21
ALG13,44
ALG14,115
ALYREF,54
ANAPC1,76
ANAPC2,30
ANAPC4,17
ANAPC5,40
ANAPC10,25
ANAPC11,84
ANAPC13,116
ANAPC15,532
ANKLE2,49
ANKRD11,165
ANKRD17,35
ANKRD39,41
ANKRD49,92
ANKS6,264
ANLN,5
AP2A1,14
AP2M1,224
AP2S1,67
AQP7,192
AQR,18
ARCN1,77
ARF4,23
ARFRP1,116
ARGFX,108
ARGLU1,105
ARHGAP6,50
ARHGAP11B,105
ARID3A,119
ARID5B,118
ARIH1,57
ARL2,215
ARL4D,145
ARL6IP6,17
ARMC6,91
ARMC7,74
ARPC1B,35
ARPC2,140
ARPC3,80
ARPC4,84
ARRB2,13
ASCC3,127
ASF1B,162
ATF4,49
ATF5,69
ATIC,86
ATL2,71
ATP1A1,102
ATP2A2,144
ATP5F1A,92
ATP5F1B,108
ATP5F1C,44
ATP5MD,18
ATP5ME,136
ATP5MF,232
ATP5PD,207
ATP5PO,139
ATP6AP1,178
ATP6AP2,283
ATP6V0B,115
ATP6V0C,251
ATP6V0D1,99
ATP6V1A,79
ATP6V1B2,163
ATP6V1C1,46
ATP6V1D,65
ATP6V1E1,58
ATP6V1F,41
ATP6V1G1,135
ATP6V1H,79
ATP11B,128
ATR,161
ATRIP,74
ATXN10,59
AURKA,35
AURKAIP1,29
AURKB,5
BAG6,71
BANF1,33
BANP,32
BAP1,114
BARD1,21
BCAR1,922
BCAS2,38
BCL2L1,414
BCLAF1,82
BCR,98
BCS1L,106
BDP1,47
BET1,68
BGLAP,59
BIRC5,15
BMP2K,23
BMS1,53
BNIP1,59
BOD1L1,97
BOP1,166
BORA,73
BPTF,101
BRCA1,14
BRCA2,83
BRD2,83
BRD4,77
BRD8,25
BRF1,61
BRF2,94
BRIP1,110
BRIX1,42
BRK1,49
BTAF1,74
BTF3,110
BTF3L4,277
BUB1,75
BUB1B,106
BUB3,17
BUD13,36
BUD23,7
BUD31,45
BYSL,17
C1D,53
C1QBP,22
C1QTNF4,75
C1orf109,214
C1orf131,14
C5orf30,45
C6orf15,105
C7orf26,380
C7orf50,93
C9orf16,160
C9orf78,97
C12orf45,18
C12orf60,42
C14orf178,292
C16orf86,181
C17orf58,189
C18orf21,8
C19orf25,53
C19orf53,12
CA5A,115
CABIN1,173
CACNB3,244
CACTIN,90
CAD,96
CADM4,247
CALR,74
CAMLG,161
CAP1,35
CAPZB,88
CARF,14
CARS,54
CASC3,170
CASP8AP2,28
CAST,56
CBFA2T3,111
CBLL1,74
CBLN1,80
CBX1,125
CCAR1,119
CCDC6,1086
CCDC59,48
CCDC78,492
CCDC84,44
CCDC86,11
CCDC115,53
CCDC130,114
CCDC137,41
CCDC144A,140
CCDC144NL,250
CCDC174,26
CCNA2,13
CCNB1,108
CCNC,128
CCND1,62
CCND3,83
CCNH,71
CCNK,349
CCNL1,52
