source_target_gene,n_cells
A1BG,649
A1CF,429
A2M,173
A2ML1,332
A3GALT2,70
A4GALT,304
A4GNT,273
AAAS,139
AACS,64
AADAC,39
AADACL2,220
AADACL3,178
AADACL4,1
AADAT,3
AAGAB,74
AAK1,166
AAMDC,207
AAMP,53
AANAT,133
AAR2,68
AARD,104
AARS1,110
AARS2,157
AARSD1,325
AASDH,119
AASS,158
AATF,34
AATK,58
ABAT,171
ABCA1,64
ABCA10,182
ABCA12,153
ABCA13,205
ABCA2,173
ABCA3,99
ABCA4,136
ABCA5,202
ABCA6,270
ABCA7,530
ABCA8,241
ABCA9,481
ABCB1,152
ABCB10,75
ABCB11,274
ABCB4,422
ABCB5,199
ABCB6,83
ABCB7,115
ABCB8,428
ABCB9,165
ABCC1,215
ABCC10,86
ABCC11,193
ABCC12,244
ABCC2,196
ABCC3,106
ABCC4,334
ABCC5,241
ABCC6,168
ABCC8,25
ABCC9,221
ABCD1,166
ABCD2,98
ABCD3,97
ABCD4,167
ABCE1,96
ABCF1,124
ABCF2,78
ABCF3,56
ABCG1,217
ABCG2,190
ABCG4,91
ABCG5,143
ABCG8,118
ABHD1,132
ABHD10,353
ABHD11,146
ABHD12,150
ABHD12B,137
ABHD13,227
ABHD14A,121
ABHD14B,230
ABHD15,299
ABHD16A,95
ABHD16B,190
ABHD17A,304
ABHD17B,120
ABHD17C,173
ABHD18,179
ABHD2,237
ABHD3,154
ABHD4,43
ABHD5,19
ABHD6,76
ABHD8,190
ABI1,148
ABI2,13
ABI3,375
ABI3BP,240
ABITRAM,329
ABL1,148
ABL2,542
ABLIM1,95
ABLIM2,203
ABLIM3,133
ABO,318
ABR,87
ABRA,173
ABRACL,40
ABRAXAS1,164
ABRAXAS2,78
ABT1,30
ABTB1,194
ABTB2,141
ABTB3,147
ACAA1,199
ACAA2,1
ACACA,123
ACACB,358
ACAD10,41
ACAD11,134
ACAD8,68
ACAD9,8
ACADL,249
ACADM,41
ACADS,3
ACADSB,146
ACADVL,189
ACAN,193
ACAP1,316
ACAP2,150
ACAP3,149
ACAT1,108
ACAT2,113
ACBD3,112
ACBD4,78
ACBD5,1
ACBD6,187
ACBD7,78
ACCS,256
ACCSL,283
ACD,60
ACE,397
ACE2,45
ACER1,179
ACER2,266
ACER3,30
ACHE,191
ACIN1,409
ACKR1,89
ACKR2,152
ACKR3,132
ACKR4,294
ACLY,146
ACMSD,80
ACO1,27
ACO2,155
ACOD1,190
ACOT1,306
ACOT11,240
ACOT12,190
ACOT13,42
ACOT2,95
ACOT4,34
ACOT6,321
ACOT7,72
ACOT8,103
ACOT9,128
ACOX1,169
ACOX2,373
ACOX3,353
ACOXL,453
ACP1,159
ACP2,5
ACP3,82
ACP4,237
ACP5,578
ACP6,123
ACP7,227
ACR,30
ACRBP,18
ACRV1,291
ACSBG1,319
ACSBG2,309
ACSF2,232
ACSF3,136
ACSL1,42
ACSL3,105
ACSL4,59
ACSL5,493
ACSL6,193
ACSM1,113
ACSM2A,150
ACSM2B,46
ACSM3,107
ACSM4,101
ACSM5,554
ACSM6,415
ACSS1,123
ACSS2,36
ACSS3,101
ACTA1,477
ACTA2,438
ACTB,38
ACTBL2,169
ACTC1,288
ACTG1,52
ACTG2,442
ACTL10,492
ACTL6A,72
ACTL6B,42
ACTL7A,162
ACTL7B,187
ACTL8,89
ACTL9,379
ACTMAP,180
ACTN1,62
ACTN2,325
ACTN3,208
ACTN4,225
ACTR10,215
ACTR1A,258
ACTR1B,324
ACTR2,56
ACTR3,217
ACTR3B,21
ACTR3C,48
ACTR5,288
ACTR6,104
ACTR8,69
ACTRT1,201
ACTRT2,42
ACTRT3,200
ACVR1,287
ACVR1B,133
ACVR1C,174
ACVR2A,141
ACVR2B,19
ACVRL1,116
ACY1,159
ACY3,227
ACYP1,343
ACYP2,300
ADA,271
ADA2,192
ADAD1,122
ADAD2,336
ADAL,105
ADAM10,60
ADAM11,51
ADAM12,86
ADAM15,124
ADAM17,252
ADAM18,191
ADAM19,153
ADAM2,93
ADAM20,194
ADAM21,76
ADAM22,318
ADAM23,103
ADAM28,141
ADAM29,315
ADAM30,321
ADAM32,66
ADAM33,158
ADAM7,175
ADAM8,22
ADAM9,251
ADAMDEC1,119
ADAMTS1,230
ADAMTS10,81
ADAMTS12,68
ADAMTS13,164
ADAMTS14,123
ADAMTS15,288
ADAMTS16,30
ADAMTS17,142
ADAMTS18,227
ADAMTS19,134
ADAMTS2,423
ADAMTS20,226
ADAMTS3,63
ADAMTS4,259
ADAMTS5,295
ADAMTS6,205
ADAMTS7,50
ADAMTS8,7
ADAMTS9,101
ADAMTSL1,283
ADAMTSL2,6
ADAMTSL3,125
ADAMTSL5,171
ADAP1,245
ADAP2,70
ADAR,248
ADARB1,65
ADARB2,86
ADAT1,65
ADAT2,163
ADAT3,238
ADCK1,393
ADCK2,75
ADCK5,93
ADCY1,28
ADCY10,185
ADCY2,243
ADCY3,173
ADCY4,100
ADCY5,101
ADCY6,308
ADCY7,113
ADCY8,72
ADCY9,142
ADCYAP1,151
ADCYAP1R1,257
ADD1,17
ADD2,27
ADD3,113
ADGB,258
ADGRA1,96
ADGRA2,56
ADGRA3,45
ADGRB1,81
ADGRB2,71
ADGRB3,166
ADGRD1,328
ADGRD2,151
ADGRE1,150
ADGRE2,266
ADGRE3,119
ADGRE5,64
