source_target_gene,n_cells
A1BG,861
A1CF,650
A2M,197
A2ML1,387
A3GALT2,67
A4GALT,312
A4GNT,329
AAAS,187
AACS,74
AADAC,51
AADACL2,294
AADACL3,257
AADACL4,58
AADAT,5
AAGAB,90
AAK1,232
AAMDC,207
AAMP,62
AANAT,190
AAR2,58
AARD,130
AARS1,203
AARS2,213
AARSD1,408
AASDH,169
AASS,252
AATF,32
AATK,102
ABAT,277
ABCA1,166
ABCA10,211
ABCA12,226
ABCA13,264
ABCA2,218
ABCA3,184
ABCA4,187
ABCA5,209
ABCA6,395
ABCA7,744
ABCA8,282
ABCA9,602
ABCB1,209
ABCB10,79
ABCB11,348
ABCB4,536
ABCB5,256
ABCB6,109
ABCB7,220
ABCB8,580
ABCB9,234
ABCC1,317
ABCC10,110
ABCC11,311
ABCC12,281
ABCC2,233
ABCC3,139
ABCC4,441
ABCC5,362
ABCC6,230
ABCC8,70
ABCC9,335
ABCD1,179
ABCD2,133
ABCD3,113
ABCD4,215
ABCE1,84
ABCF1,234
ABCF2,82
ABCF3,50
ABCG1,271
ABCG2,255
ABCG4,173
ABCG5,154
ABCG8,136
ABHD1,194
ABHD10,514
ABHD11,233
ABHD12,157
ABHD12B,137
ABHD13,273
ABHD14A,168
ABHD14B,318
ABHD15,440
ABHD16A,167
ABHD16B,274
ABHD17A,361
ABHD17B,161
ABHD17C,214
ABHD18,293
ABHD2,267
ABHD3,218
ABHD4,29
ABHD5,16
ABHD6,137
ABHD8,311
ABI1,183
ABI2,7
ABI3,430
ABI3BP,248
ABITRAM,480
ABL1,191
ABL2,680
ABLIM1,130
ABLIM2,254
ABLIM3,123
ABO,385
ABR,135
ABRA,217
ABRACL,71
ABRAXAS1,212
ABRAXAS2,95
ABT1,54
ABTB1,224
ABTB2,219
ABTB3,301
ACAA1,227
ACAA2,15
ACACA,176
ACACB,565
ACAD10,73
ACAD11,185
ACAD8,84
ACAD9,15
ACADL,350
ACADM,58
ACADS,21
ACADSB,175
ACADVL,296
ACAN,218
ACAP1,394
ACAP2,118
ACAP3,165
ACAT1,140
ACAT2,113
ACBD3,167
ACBD4,110
ACBD5,2
ACBD6,184
ACBD7,88
ACCS,367
ACCSL,345
ACD,114
ACE,516
ACE2,87
ACER1,196
ACER2,367
ACER3,72
ACHE,191
ACIN1,531
ACKR1,118
ACKR2,198
ACKR3,197
ACKR4,382
ACLY,160
ACMSD,139
ACO1,42
ACO2,141
ACOD1,260
ACOT1,395
ACOT11,295
ACOT12,212
ACOT13,45
ACOT2,124
ACOT4,59
ACOT6,335
ACOT7,63
ACOT8,130
ACOT9,174
ACOX1,243
ACOX2,471
ACOX3,547
ACOXL,445
ACP1,137
ACP2,30
ACP3,110
ACP4,320
ACP5,788
ACP6,171
ACP7,404
ACR,21
ACRBP,32
ACRV1,386
ACSBG1,390
ACSBG2,453
ACSF2,232
ACSF3,195
ACSL1,31
ACSL3,107
ACSL4,49
ACSL5,616
ACSL6,232
ACSM1,114
ACSM2A,215
ACSM2B,64
ACSM3,95
ACSM4,149
ACSM5,730
ACSM6,516
ACSS1,140
ACSS2,40
ACSS3,148
ACTA1,627
ACTA2,537
ACTB,30
ACTBL2,324
ACTC1,442
ACTG1,85
ACTG2,563
ACTL10,679
ACTL6A,30
ACTL6B,81
ACTL7A,189
ACTL7B,315
ACTL8,128
ACTL9,441
ACTMAP,255
ACTN1,135
ACTN2,464
ACTN3,240
ACTN4,306
ACTR10,157
ACTR1A,327
ACTR1B,426
ACTR2,70
ACTR3,165
ACTR3B,63
ACTR3C,99
ACTR5,292
ACTR6,144
ACTR8,104
ACTRT1,237
ACTRT2,72
ACTRT3,220
ACVR1,356
ACVR1B,174
ACVR1C,217
ACVR2A,203
ACVR2B,18
ACVRL1,181
ACY1,284
ACY3,373
ACYP1,369
ACYP2,345
ADA,393
ADA2,307
ADAD1,152
ADAD2,467
ADAL,165
ADAM10,107
ADAM11,100
ADAM12,123
ADAM15,149
ADAM17,339
ADAM18,322
ADAM19,199
ADAM2,162
ADAM20,268
ADAM21,116
ADAM22,524
ADAM23,170
ADAM28,162
ADAM29,392
ADAM30,377
ADAM32,142
ADAM33,226
ADAM7,253
ADAM8,41
ADAM9,308
ADAMDEC1,198
ADAMTS1,354
ADAMTS10,140
ADAMTS12,86
ADAMTS13,190
ADAMTS14,126
ADAMTS15,277
ADAMTS16,64
ADAMTS17,178
ADAMTS18,314
ADAMTS19,217
ADAMTS2,565
ADAMTS20,252
ADAMTS3,87
ADAMTS4,343
ADAMTS5,447
ADAMTS6,307
ADAMTS7,75
ADAMTS8,12
ADAMTS9,144
ADAMTSL1,435
ADAMTSL2,26
ADAMTSL3,175
ADAMTSL4,7
ADAMTSL5,246
ADAP1,379
ADAP2,80
ADAR,370
ADARB1,69
ADARB2,83
ADAT1,122
ADAT2,222
ADAT3,392
ADCK1,559
ADCK2,116
ADCK5,150
ADCY1,45
ADCY10,214
ADCY2,371
ADCY3,204
ADCY4,216
ADCY5,115
ADCY6,374
ADCY7,194
ADCY8,84
ADCY9,144
ADCYAP1,170
ADCYAP1R1,283
ADD1,59
ADD2,18
ADD3,114
ADGB,393
ADGRA1,161
ADGRA2,64
ADGRA3,69
ADGRB1,128
ADGRB2,91
ADGRB3,193
ADGRD1,453
ADGRD2,220
ADGRE1,223
ADGRE2,303
ADGRE3,220
ADGRE5,92
ADGRF1,278
ADGRF3,484
ADGRF4,244
ADGRF5,522
ADGRG1,122
ADGRG2,103
ADGRG3,209
ADGRG4,99
ADGRG5,433
ADGRG6,142
ADGRG7,190
ADGRL1,126
ADGRL2,167
ADGRL3,287
ADGRL4,127
ADGRV1,70
ADH1A,184
ADH1B,274
ADH1C,232
ADH4,103
ADH5,126
ADH6,299
ADH7,232
ADHFE1,435
ADI1,271
ADIG,256
ADIPOQ,251
ADIPOR1,139
ADIPOR2,95
ADIRF,239
ADISSP,262
ADK,281
ADM,101
ADM2,62
ADM5,178
ADNP,476
ADNP2,386
ADO,551
ADORA1,63
ADORA2A,378
ADORA2B,349
ADORA3,725
ADPGK,89
ADPRH,86
ADPRHL1,260
ADPRM,175
ADPRS,84
ADRA1A,209
ADRA1B,428
ADRA1D,553
ADRA2A,140
ADRA2B,41
ADRA2C,211
ADRB1,188
ADRB2,115
ADRB3,92
ADRM1,468
ADSL,7
ADSS1,322
ADSS2,539
ADTRP,213
AEBP1,328
AEBP2,363
AEN,173
AFAP1,133
AFAP1L1,231
AFAP1L2,203
AFDN,121
AFF1,186
AFF2,93
AFF3,36
AFF4,39
AFG1L,595
AFG3L2,220
AFM,62
AFMID,458
AFP,225
AFTPH,486
AGA,392
AGAP1,213
AGAP2,83
AGAP3,474
AGAP9,500
AGBL1,630
AGBL2,102
AGBL3,72
AGBL4,151
AGBL5,572
AGER,22
AGFG1,347
AGFG2,124
AGGF1,361
AGK,412
AGL,275
AGMAT,63
AGMO,167
AGO1,221
AGO2,224
AGO3,179
AGO4,501
AGPAT1,192
AGPAT2,377
AGPAT3,265
AGPAT4,205
AGPAT5,95
AGPS,55
AGR2,126
AGR3,117
AGRN,153
AGRP,248
AGT,126
AGTPBP1,291
AGTR1,98
AGTR2,194
AGTRAP,286
AGXT,402
AGXT2,139
AHCTF1,214
AHCY,43
AHCYL1,437
AHCYL2,79
AHDC1,267
AHI1,388
AHNAK,478
AHNAK2,281
AHR,170
AHRR,233
AHSA1,181
AHSG,172
AHSP,339
AICDA,195
AIF1,295
AIF1L,195
AIFM1,477
AIFM2,200
AIFM3,329
AIG1,208
AIM2,301
AIMP1,351
AIMP2,258
AIP,337
AIPL1,245
AIRE,222
AJAP1,367
AJM1,34
AJUBA,328
AK1,68
AK2,496
AK3,174
AK4,681
AK5,121
AK7,92
AK8,242
AK9,215
AKAIN1,155
AKAP1,79
AKAP10,310
AKAP11,435
AKAP12,648
AKAP13,291
AKAP14,73
AKAP17A,432
AKAP3,433
AKAP4,132
AKAP5,187
AKAP6,279
AKAP7,85
AKAP8,26
AKAP8L,115
AKAP9,486
AKIP1,141
AKIRIN1,53
AKIRIN2,326
AKNA,192
AKNAD1,487
AKR1A1,117
AKR1B1,647
AKR1B10,154
AKR1B15,50
AKR1C2,399
AKR1C3,180
AKR1C4,220
AKR1D1,391
AKR1E2,44
AKR7A2,138
AKR7A3,131
AKT1,180
AKT1S1,31
AKT2,199
AKT3,172
AKTIP,171
ALAD,512
ALAS1,110
ALAS2,336
ALB,522
ALCAM,75
ALDH16A1,110
ALDH18A1,232
ALDH1A1,196
ALDH1A2,216
ALDH1A3,667
ALDH1B1,74
ALDH1L1,416
ALDH1L2,116
ALDH2,215
ALDH3A1,509
ALDH3A2,206
ALDH3B1,745
ALDH3B2,159
ALDH4A1,180
ALDH5A1,188
ALDH6A1,138
ALDH7A1,341
ALDH8A1,336
ALDH9A1,137
ALDOA,175
ALDOB,500
ALDOC,49
ALG1,127
ALG10,170
ALG10B,164
ALG12,203
ALG13,120
ALG14,341
ALG2,272
ALG3,128
ALG5,56
ALG6,522
ALG8,516
ALG9,542
ALK,330
ALKAL1,190
ALKAL2,169
ALKBH1,196
ALKBH2,173
ALKBH3,55
ALKBH4,231
ALKBH5,138
ALKBH6,263
ALKBH7,56
ALKBH8,277
ALLC,435
ALMS1,163
ALOX12,516
ALOX12B,469
ALOX15,141
ALOX15B,190
ALOX5,54
ALOX5AP,360
ALOXE3,310
ALPG,95
ALPI,339
ALPK1,359
ALPK2,522
ALPK3,268
ALPL,575
ALPP,72
ALS2,348
ALS2CL,273
ALX1,224
ALX3,265
ALX4,288
ALYREF,6
AMACR,74
AMBN,511
AMBP,86
AMBRA1,194
AMD1,78
AMDHD1,82
AMDHD2,120
AMELX,108
AMELY,91
AMER1,104
AMER2,651
AMER3,142
AMFR,272
AMH,254
AMHR2,120
AMIGO1,435
AMIGO2,103
AMIGO3,227
AMMECR1,322
AMMECR1L,161
AMN,325
AMN1,434
AMOT,221
AMOTL1,85
AMOTL2,143
AMPD1,163
AMPD2,212
AMPD3,294
AMPH,462
AMT,180
AMTN,195
AMY1B,258
AMY2A,56
AMY2B,202
AMZ1,34
AMZ2,162
ANAPC1,25
ANAPC10,71
ANAPC11,195
ANAPC13,399
ANAPC15,91
ANAPC16,504
ANAPC2,32
ANAPC4,53
ANAPC5,42
ANAPC7,163
ANGEL1,78
ANGEL2,207
ANGPT1,179
ANGPT2,327
ANGPT4,118
ANGPTL1,386
ANGPTL2,241
ANGPTL3,397
ANGPTL4,290
ANGPTL5,191
ANGPTL6,151
ANGPTL7,286
ANGPTL8,241
ANHX,164
ANK1,410
ANK2,344
ANK3,252
ANKAR,305
ANKDD1A,549
ANKDD1B,693
ANKEF1,93
ANKFN1,445
ANKFY1,66
ANKH,112
ANKHD1,359
ANKIB1,75
ANKK1,117
ANKLE1,61
ANKLE2,132
ANKMY1,252
ANKMY2,144
ANKRA2,441
ANKRD1,189
ANKRD10,209
ANKRD11,386
ANKRD12,264
ANKRD13A,167
ANKRD13B,15
ANKRD13C,327
ANKRD13D,255
ANKRD16,398
ANKRD17,188
ANKRD18A,238
ANKRD18B,191
ANKRD2,51
ANKRD22,258
ANKRD23,408
ANKRD24,98
ANKRD26,126
ANKRD27,217
ANKRD28,218
ANKRD29,116
ANKRD30A,140
ANKRD30B,247
ANKRD31,139
ANKRD33,233
ANKRD33B,155
ANKRD34A,747
ANKRD34B,471
ANKRD34C,153
ANKRD35,210
ANKRD36,415
ANKRD36C,112
ANKRD37,217
ANKRD39,119
ANKRD40,40
ANKRD42,161
ANKRD44,254
ANKRD45,151
ANKRD46,123
ANKRD49,79
ANKRD50,82
ANKRD52,43
ANKRD53,120
ANKRD54,136
ANKRD55,70
ANKRD6,117
ANKRD60,256
ANKRD61,270
ANKRD62,280
ANKRD63,646
ANKRD65,444
ANKRD66,155
ANKRD7,48
ANKRD9,100
ANKS1A,478
ANKS1B,258
ANKS3,284
ANKS4B,590
ANKS6,59
ANKUB1,129
ANKZF1,237
ANO1,107
ANO10,104
ANO2,157
ANO3,239
ANO4,547
ANO5,94
ANO6,10
ANO7,94
ANO8,454
ANO9,138
ANOS1,372
ANP32A,450
ANP32B,268
ANP32D,166
ANP32E,335
ANPEP,374
ANTKMT,151
ANTXR1,477
ANTXR2,109
ANXA1,176
ANXA10,185
ANXA11,283
ANXA13,389
ANXA2,112
ANXA2R,138
ANXA3,128
ANXA4,81
ANXA5,102
ANXA6,293
ANXA7,97
ANXA9,122
AOAH,275
AOC1,707
AOC2,63
AOC3,365
AOPEP,400
AOX1,475
AP1AR,136
AP1B1,294
AP1G1,938
AP1G2,124
AP1M1,377
AP1M2,197
AP1S1,54
AP1S2,138
AP1S3,44
AP2A1,87
AP2A2,255
AP2B1,287
AP2M1,213
AP2S1,542
AP3B1,161
AP3B2,190
AP3D1,19
AP3M1,45
AP3M2,168
AP3S1,83
AP3S2,326
AP4B1,220
AP4E1,56
AP4M1,137
AP4S1,68
AP5B1,200
AP5M1,187
AP5S1,256
AP5Z1,363
APAF1,348
APBA1,114
APBA2,259
APBA3,91
APBB1,73
APBB1IP,144
APBB2,266
APBB3,258
APC,606
APC2,529
APCDD1,134
APCDD1L,101
