source_target_gene,n_cells
A1BG,2312
A2M,894
AAAS,2161
AACS,2053
AAGAB,1652
AAK1,3526
AAMDC,926
AAMP,44
AAR2,180
AARS1,5
AARS2,239
AARSD1,2220
AASDH,1743
AASDHPPT,453
AASS,1389
AATF,318
ABAT,541
ABCA1,673
ABCA2,859
ABCA3,419
ABCA5,2487
ABCA7,695
ABCB1,2759
ABCB10,5
ABCB6,605
ABCB7,50
ABCB8,1481
ABCB9,816
ABCC1,1752
ABCC10,1597
ABCC2,1806
ABCC3,1305
ABCC4,771
ABCC5,1130
ABCC8,1398
ABCD1,33
ABCD2,731
ABCD3,1366
ABCD4,1026
ABCE1,299
ABCF1,67
ABCF2,955
ABCF3,1378
ABCG1,802
ABHD10,2879
ABHD11,1117
ABHD12,1378
ABHD13,1924
ABHD14A,1464
ABHD14B,4484
ABHD15,101
ABHD16A,923
ABHD16B,1234
ABHD17A,1265
ABHD17B,1507
ABHD18,2103
ABHD2,1090
ABHD3,2592
ABHD4,2508
ABHD5,2480
ABHD6,1179
ABHD8,807
ABI1,1223
ABI2,832
ABI3,354
ABITRAM,696
ABL1,1337
ABL2,2905
ABLIM1,1602
ABLIM3,1066
ABR,593
ABRACL,1988
ABRAXAS1,1634
ABRAXAS2,2404
ABT1,207
ABTB1,3128
ABTB2,2249
ABTB3,2494
ACAA1,1494
ACAA2,2517
ACACA,2909
ACACB,4303
ACAD10,4254
ACAD11,1245
ACAD8,1629
ACAD9,2505
ACADM,2845
ACADS,918
ACADSB,2651
ACADVL,1072
ACAP1,2067
ACAP2,1528
ACAP3,1372
ACAT1,2137
ACAT2,1400
ACBD3,1661
ACBD4,331
ACBD5,3721
ACBD6,1744
ACCS,1891
ACD,82
ACE,1058
ACER1,1407
ACER2,3556
ACER3,2885
ACIN1,692
ACKR3,2459
ACLY,1111
ACO1,1524
ACO2,529
ACOT13,2002
ACOT2,2254
ACOT4,2130
ACOT7,1702
ACOT8,3304
ACOT9,1276
ACOX1,1800
ACOX3,2227
ACP1,2146
ACP2,3098
ACP5,1317
ACP6,2095
ACRBP,1301
ACSF2,4081
ACSF3,1681
ACSL1,657
ACSL3,1666
ACSL4,2209
ACSL5,5523
ACSL6,375
ACSM3,5252
ACSS1,3222
ACSS2,2459
ACTA2,1765
ACTB,1929
ACTG1,453
ACTL6A,21
ACTMAP,1178
ACTN1,993
ACTN4,1315
ACTR1A,2014
ACTR1B,1059
ACTR2,660
ACTR3,760
ACTR3B,170
ACTR3C,1358
ACTR5,3696
ACTR6,10
ACTR8,442
ACVR1,838
ACVR1B,1949
ACVR1C,3220
ACVR2A,3038
ACVR2B,1336
ACY1,2140
ACYP1,821
ACYP2,2016
ADA,1417
ADA2,866
ADAM10,146
ADAM12,3926
ADAM15,965
ADAM17,3091
ADAM19,656
ADAM22,1540
ADAM23,1893
ADAM28,2081
ADAM8,1603
ADAM9,961
ADAMTS1,692
ADAMTS10,2963
ADAMTS17,2068
ADAMTS6,4814
ADAMTSL5,1106
ADAP1,1703
ADAR,274
ADARB1,1849
ADARB2,1418
ADAT1,1393
ADAT2,918
ADAT3,1228
ADCK1,1842
ADCK2,2164
ADCK5,3488
ADCY1,2016
ADCY3,1753
ADCY4,860
ADCY7,3360
ADCY9,2484
ADD1,1715
ADD2,1161
ADD3,538
ADGRA3,1963
ADGRB2,800
ADGRE1,3060
ADGRE2,2686
ADGRE5,1773
ADGRG1,1014
ADGRG5,1305
ADGRL1,1602
ADGRV1,2884
ADH1B,2090
ADH5,2126
ADHFE1,369
ADI1,2269
ADIPOR1,2594
ADIPOR2,1264
ADIRF,3714
ADISSP,1760
ADK,2703
ADM,1211
ADM5,5931
ADNP,3670
ADNP2,3608
ADO,338
ADORA2A,2481
ADORA2B,1562
ADPGK,2835
ADPRH,1019
ADPRM,2677
ADPRS,748
ADRB2,2167
ADRM1,938
ADSL,55
ADSS2,109
ADTRP,2851
AEBP1,855
AEBP2,1669
AEN,1713
AFAP1,1438
AFAP1L2,2519
AFDN,1075
AFF1,1608
AFF2,1667
AFF3,1272
AFF4,2022
AFG2A,254
