target_gene,dataset_id,cell_context,variant_id,perturbation_modality,present,source_target_name,n_cells,n_guides,knockdown_efficiency,source_url
ABCD1,vcc2025_h1,H1 hESC,vcc2025_h1_scperteval,CRISPRi,0,,,,,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad
ABCD1,replogle2022,K562,replogle_k562_gwps_scperturb,CRISPRi,0,,,,,https://zenodo.org/records/13350497
ABCD1,replogle2022,RPE1,replogle_rpe1_scperturb,CRISPRi,0,,,,,https://zenodo.org/records/13350497
ABCD1,nadig2025,HepG2,nadig_hepg2_scperturb,CRISPRi,0,,,,,https://zenodo.org/records/13350497
ABCD1,nadig2025,Jurkat,nadig_jurkat_scperturb,CRISPRi,0,,,,,https://zenodo.org/records/13350497
ABCD1,jiang2025,A549,jiang_author,CRISPRi,0,,,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41556-025-01622-z/MediaObjects/41556_2025_1622_MOESM3_ESM.xlsx
ABCD1,jiang2025,MCF7,jiang_author,CRISPRi,0,,,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41556-025-01622-z/MediaObjects/41556_2025_1622_MOESM3_ESM.xlsx
ABCD1,jiang2025,HT29,jiang_author,CRISPRi,0,,,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41556-025-01622-z/MediaObjects/41556_2025_1622_MOESM3_ESM.xlsx
ABCD1,jiang2025,HAP1,jiang_author,CRISPRi,0,,,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41556-025-01622-z/MediaObjects/41556_2025_1622_MOESM3_ESM.xlsx
ABCD1,jiang2025,BxPC3,jiang_author,CRISPRi,0,,,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41556-025-01622-z/MediaObjects/41556_2025_1622_MOESM3_ESM.xlsx
ABCD1,jiang2025,K562,jiang_author,CRISPRi,0,,,,,https://static-content.springer.com/esm/art%3A10.1038%2Fs41556-025-01622-z/MediaObjects/41556_2025_1622_MOESM3_ESM.xlsx
ABCD1,mcfaline2024,A172,mcfaline_author,CRISPRi,0,,,,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7056nnn/GSM7056149/suppl/GSM7056149_sciPlexGxE_2_gRNA_sequences.txt.gz
ABCD1,mcfaline2024,T98G,mcfaline_author,CRISPRi,0,,,,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7056nnn/GSM7056149/suppl/GSM7056149_sciPlexGxE_2_gRNA_sequences.txt.gz
ABCD1,mcfaline2024,U87MG,mcfaline_author,CRISPRi,0,,,,,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7056nnn/GSM7056149/suppl/GSM7056149_sciPlexGxE_2_gRNA_sequences.txt.gz
ACLY,vcc2025_h1,H1 hESC,vcc2025_h1_scperteval,CRISPRi,0,,,,,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad
ACLY,replogle2022,K562,replogle_k562_gwps_scperturb,CRISPRi,1,ACLY,,,,https://zenodo.org/records/13350497
