target_gene,vcc2025_h1,replogle2022__K562,replogle2022__RPE1,nadig2025__HepG2,nadig2025__Jurkat,jiang2025__A549,jiang2025__MCF7,jiang2025__HT29,jiang2025__HAP1,jiang2025__BxPC3,jiang2025__K562,mcfaline2024__A172,mcfaline2024__T98G,mcfaline2024__U87MG,xatlas_orion__HCT116,xatlas_orion__HEK293T,nourreddine2024__KOLF2.1J,zhu2026__CD4T
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACLY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADNP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AGO1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AKAP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AKIRIN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AKT2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ALG12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ANKRD52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ANKZF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ANP32B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
AP2A2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
API5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ARL14EP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ASCC2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BCKDK,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
BCL6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BCL7C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BRD1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BRPF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
C5orf22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CAND1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CAPRIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
