target_gene,n_biological_datasets,n_crispri_datasets,n_cell_contexts,n_crispri_cell_contexts,contexts,datasets
ABCD1,0,0,0,0,,
ACLY,1,1,1,1,K562,replogle2022
ADNP,1,1,1,1,K562,replogle2022
AGO1,1,1,1,1,K562,replogle2022
AKAP1,1,1,1,1,K562,replogle2022
AKIRIN1,1,1,1,1,K562,replogle2022
AKT2,3,3,5,5,A172;H1 hESC;K562;T98G;U87MG,mcfaline2024;replogle2022;vcc2025_h1
ALG12,1,1,1,1,K562,replogle2022
ANKRD52,1,1,1,1,K562,replogle2022
ANKZF1,1,1,1,1,K562,replogle2022
ANP32B,1,1,1,1,K562,replogle2022
AP2A2,1,1,1,1,K562,replogle2022
API5,1,1,1,1,K562,replogle2022
ARL14EP,1,1,1,1,K562,replogle2022
ASCC2,1,1,1,1,K562,replogle2022
BCKDK,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
BCL6,1,1,1,1,K562,replogle2022
BCL7C,1,1,1,1,K562,replogle2022
BRD1,1,1,1,1,K562,replogle2022
BRPF1,1,1,1,1,K562,replogle2022
C5orf22,1,1,1,1,K562,replogle2022
CAND1,1,1,1,1,K562,replogle2022
CAPRIN2,0,0,0,0,,
CARM1,1,1,1,1,K562,replogle2022
CAT,1,1,1,1,K562,replogle2022
CCDC112,1,1,1,1,K562,replogle2022
CDK8,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
CHD3,1,1,1,1,K562,replogle2022
CHD6,1,1,1,1,K562,replogle2022
CHKB,1,1,1,1,K562,replogle2022
CLCN6,1,1,1,1,K562,replogle2022
COIL,1,1,1,1,K562,replogle2022
COMMD8,1,1,1,1,K562,replogle2022
COQ10B,1,1,1,1,K562,replogle2022
CSNK2A1,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
CYTH2,1,1,1,1,K562,replogle2022
DBF4B,1,1,1,1,K562,replogle2022
DBN1,1,1,1,1,K562,replogle2022
DCAF16,1,1,1,1,K562,replogle2022
DCP2,1,1,1,1,K562,replogle2022
DDHD1,1,1,1,1,K562,replogle2022
DEAF1,1,1,1,1,K562,replogle2022
DEK,1,1,1,1,K562,replogle2022
DHRS1,1,1,1,1,K562,replogle2022
DHX35,1,1,1,1,K562,replogle2022
DLAT,1,1,1,1,K562,replogle2022
DMTF1,1,1,1,1,K562,replogle2022
DNTTIP1,1,1,1,1,K562,replogle2022
DRG2,1,1,1,1,K562,replogle2022
DTNBP1,1,1,1,1,K562,replogle2022
DVL3,1,1,1,1,K562,replogle2022
E2F1,1,1,1,1,K562,replogle2022
E2F4,1,1,1,1,K562,replogle2022
EAPP,1,1,1,1,K562,replogle2022
EEF1A2,1,1,1,1,K562,replogle2022
ELK1,2,2,7,7,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022
EPC2,1,1,1,1,K562,replogle2022
EPHB2,1,1,3,3,A172;T98G;U87MG,mcfaline2024
EPM2AIP1,1,1,1,1,K562,replogle2022
EZH2,1,1,1,1,K562,replogle2022
FAM120A,1,1,1,1,K562,replogle2022
FCGRT,1,1,1,1,K562,replogle2022
FHL3,1,1,1,1,K562,replogle2022
FOXN2,1,1,1,1,K562,replogle2022
FOXO4,2,2,7,7,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022
FUBP3,1,1,1,1,K562,replogle2022
FXYD5,1,1,1,1,K562,replogle2022
FZD2,1,1,1,1,K562,replogle2022
GIGYF2,1,1,1,1,K562,replogle2022
GLI3,1,1,1,1,K562,replogle2022
GLYR1,1,1,1,1,K562,replogle2022
GMEB2,1,1,1,1,K562,replogle2022
GPATCH8,1,1,1,1,K562,replogle2022
GRAMD1A,1,1,1,1,K562,replogle2022
GTF2IRD1,1,1,1,1,K562,replogle2022
HDAC1,1,1,1,1,K562,replogle2022
HDAC8,1,1,1,1,K562,replogle2022
HEATR6,0,0,0,0,,
HMGN3,1,1,1,1,K562,replogle2022
HMGN4,1,1,1,1,K562,replogle2022
HMGXB3,1,1,1,1,K562,replogle2022
HOMEZ,1,1,1,1,K562,replogle2022
HSBP1,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
HSP90AB1,1,1,1,1,K562,replogle2022
IFI27L2,1,1,1,1,K562,replogle2022
IFNAR2,2,2,7,7,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022
IFNGR2,2,2,7,7,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022
IL10RB,1,1,1,1,K562,replogle2022
IREB2,1,1,1,1,K562,replogle2022
KDM5A,1,1,1,1,K562,replogle2022
KHDRBS1,1,1,1,1,K562,replogle2022
KHSRP,1,1,1,1,K562,replogle2022
KIF21B,0,0,0,0,,
KIF2A,1,1,1,1,K562,replogle2022
KMT2A,1,1,1,1,K562,replogle2022
LDLR,1,1,1,1,K562,replogle2022
LENG1,1,1,1,1,K562,replogle2022
LMAN1,1,1,1,1,K562,replogle2022
LMBRD2,1,1,1,1,K562,replogle2022
LPCAT3,1,1,1,1,K562,replogle2022
MAN2A1,1,1,1,1,K562,replogle2022
MAP2K2,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
MAPK12,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
MAPK7,1,1,3,3,A172;T98G;U87MG,mcfaline2024
MARCKSL1,1,1,1,1,K562,replogle2022
MBD4,1,1,1,1,K562,replogle2022
MED13,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
MED15,2,2,7,7,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022
MED25,1,1,1,1,K562,replogle2022
MLKL,1,1,3,3,A172;T98G;U87MG,mcfaline2024
MLLT10,1,1,1,1,K562,replogle2022
MSANTD4,1,1,1,1,K562,replogle2022
MSI2,1,1,1,1,K562,replogle2022
MTA1,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
MTF1,2,2,7,7,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022
MTHFSD,1,1,1,1,K562,replogle2022
MTM1,1,1,1,1,K562,replogle2022
MYD88,1,1,1,1,K562,replogle2022
MYPOP,1,1,1,1,K562,replogle2022
MYRF,1,1,1,1,K562,replogle2022
NABP2,1,1,1,1,K562,replogle2022
NAIF1,1,1,1,1,K562,replogle2022
NCLN,1,1,1,1,K562,replogle2022
NFE2L1,1,1,1,1,K562,replogle2022
NGLY1,1,1,1,1,K562,replogle2022
NICN1,0,0,0,0,,
NIPAL3,1,1,1,1,K562,replogle2022
NIPSNAP3A,1,1,1,1,K562,replogle2022
NT5DC1,1,1,1,1,K562,replogle2022
NUP37,1,1,1,1,K562,replogle2022
