context,gene,mean_log2_cpm,log2fc_vs_rest,min_pairwise_log2fc,cell_fraction,construct_consistency,pvalue,fdr
A,TRBC1,11.713207572014673,11.709573776392073,11.705939980769472,0.9998369565213998,1.0,3.056116685867487e-144,2.2746590577984792e-142
A,MYO7B,11.242329190871663,11.219062046790807,11.213341647391312,0.9945108695648806,1.0,2.5926540956695567e-160,4.037786416390243e-158
A,CHI3L2,10.708400812623264,10.697603144451309,10.690480194192324,0.9961956521735754,1.0,4.400082463060485e-118,1.1649532612557138e-116
A,CD1E,10.555763885758184,10.553893101843887,10.55202231792959,0.9920652173909686,1.0,4.714262271984105e-105,7.949901973310412e-104
A,GYPC,10.370700166746166,10.368978269607055,10.367256372467946,0.9989673913040089,1.0,1.579307260389137e-125,5.543428306210583e-124
A,CD3D,9.88303552795421,9.88303552795421,9.88303552795421,0.9983152173909657,1.0,3.672269906423685e-119,1.0234312507631602e-117
A,AIF1,9.71679122196916,9.715027560757054,9.71326389954495,0.9980434782605311,1.0,1.6773488365288848e-116,4.235191551415507e-115
A,ITM2A,9.735799472871289,9.687364778264575,9.645959346539811,0.9942391304344459,1.0,6.877171704709602e-218,6.708138063335951e-215
A,IKZF1,9.576477069029362,9.574696319220635,9.572915569411908,0.9963586956518362,1.0,9.604081843694205e-143,6.845863415737873e-141
A,ALDH1A2,9.607483731616256,9.566394856677654,9.545301432021628,0.974402173912716,1.0,2.580194615054408e-241,9.563749360160669e-238
A,CD3E,9.568680292421531,9.553165728989095,9.537651165556658,0.9978260869561834,1.0,1.1133911295089508e-272,1.0317238901594693e-268
A,LCP1,10.374204407314464,9.871140541077413,9.378977800760097,0.9992391304344436,1.0,1.6080207474160856e-118,4.331605888352081e-117
A,ZAP70,9.408158974337878,9.356681781447758,9.33276454016524,0.9949999999996629,1.0,6.461335508859016e-238,1.7106847283669162e-234
A,IL2RG,9.400116494693686,9.270039445074005,9.268999054624814,0.9907065217387954,1.0,2.692259720351469e-189,1.108792208828306e-186
A,DNTT,9.267613341807433,9.264047228029023,9.263915350537701,0.9796739130431483,1.0,6.386721126222377e-111,1.3329403449581005e-109
A,TSPAN7,9.482383609608886,9.169407765594448,9.05145833848878,0.9966847826083578,1.0,1.942302726472815e-152,2.0807338976717152e-150
A,MZB1,9.370016826707312,9.074172285043076,8.883166066608217,0.9916847826083601,1.0,7.545743537659942e-150,7.3992203694948e-148
A,JAM3,8.866793005342647,8.852800641756803,8.838808278170958,0.9584782608692451,1.0,3.7899132502572534e-114,8.71444941278135e-113
A,SH2D1A,8.734954646579057,8.731445657237927,8.727936667896797,0.9744565217388029,1.0,3.965198925204173e-137,2.275140299715447e-135
A,SELL,8.924629855655336,8.743851982136603,8.721667656479317,0.9237499999996961,1.0,1.7441311211248444e-212,1.5392372413241306e-209
A,LCK,8.747029244507074,8.722263840019814,8.712351362103819,0.9899999999996653,1.0,5.855732141400609e-268,3.617476125885916e-264
A,APBB1IP,9.412387264835445,8.949725789303974,8.520612769968064,0.9955434782605322,1.0,3.545625458489608e-120,1.0219452040775723e-118
A,CTSG,8.555881393093248,8.535257005380917,8.514632617668585,0.8664673913040706,1.0,1.3198999725826964e-128,5.260581976747336e-127
A,SASH3,8.454649228378779,8.454649228378779,8.454649228378779,0.9596195652170707,1.0,1.5754076665037187e-104,2.59529158073897e-103
A,SLIT1,8.221265308416505,8.181685353383932,8.165929405487333,0.9595108695648968,1.0,4.539611272939103e-230,5.608841048092026e-227
A,GPR174,8.144848303644793,8.144848303644793,8.144848303644793,0.9370652173909942,1.0,5.3484164292576e-99,7.537810013949133e-98
A,GFRA1,8.126692528191125,8.11724489046873,8.107797252746336,0.9173913043475251,1.0,4.832662751812498e-199,2.7140526902830615e-196
A,FXYD2,8.187656058378414,8.143899661019027,8.10014326365964,0.9335326086953437,1.0,7.589089018746803e-232,1.2786235162221317e-228
A,AEBP1,8.265372081941758,8.130616536347821,8.062784522268524,0.961739130434461,1.0,3.241264400590747e-187,1.2514656903364232e-184
A,CD28,8.106303121153081,8.078792291178038,8.054900360511486,0.9235869565214353,1.0,1.9275726571043443e-152,2.076959538029931e-150
A,PTPN7,8.021382027367418,8.016040898314051,8.014450389820917,0.9565760869562026,1.0,2.141533460834251e-127,8.20021479951264e-126
A,GRAP2,8.061955601845943,8.03782111870343,8.01368663556092,0.9236413043475222,1.0,7.239001629541386e-185,2.48445217037575e-182
A,CORO1A,9.817395156159767,8.678168517553445,8.01035756788725,0.9929891304344465,1.0,5.921760564533641e-103,9.388194058383402e-102
A,TRAF3IP3,7.965319957886543,7.963436611652064,7.961553265417585,0.930108695651867,1.0,2.507911252675175e-109,4.9604182759689455e-108
A,CD2,7.957744811767503,7.950956237961218,7.944167664154934,0.9328804347823005,1.0,1.4980466995703106e-137,8.813745867662402e-136
A,MYO1G,9.152292089496175,8.378198526811389,7.92801821464564,0.9815760869561909,1.0,5.823014692573098e-115,1.38002469689843e-113
A,SLA,7.916861124741101,7.907732468961322,7.90208886846735,0.9163586956518734,1.0,2.318509486278819e-129,9.485416403798091e-128
A,SPN,7.915503645035139,7.8973093497571485,7.879115054479158,0.9458152173909902,1.0,6.304017487280476e-231,8.987104314751466e-228
A,THEMIS,7.855514697459063,7.850108920317629,7.848469835645152,0.9038586956518793,1.0,2.2284696273902743e-84,2.0304929992342163e-83
A,NRN1,8.801601220177991,8.306259653600831,7.810918087023669,0.9499456521735969,1.0,4.477455731681451e-124,1.4765246810543122e-122
A,CBFA2T3,7.896518568001423,7.817334263415111,7.748751608346729,0.9266304347823034,1.0,9.621183874455704e-222,1.0488788279134563e-218
A,NCKAP1L,7.646092483949499,7.621923403890152,7.612479707497247,0.9290217391301284,1.0,2.3944179636463318e-231,3.697979010021456e-228
A,PRKCB,7.654807464106699,7.624444025890528,7.6010147657808345,0.9117391304344843,1.0,2.0857136350230182e-218,2.1474739332156442e-215
A,CD247,7.980867399645535,7.618194912967195,7.5892914289565505,0.9501086956518577,1.0,1.737924160067087e-188,7.001945317070288e-186
A,BCL11B,8.086107785441127,7.8146729692140315,7.572245738293966,0.9319021739127358,1.0,5.399860463870212e-143,3.8788997665467684e-141
A,RHOH,7.574006682322069,7.566915968301489,7.5635769263922175,0.9019565217388367,1.0,6.00820232577044e-113,1.324019187913241e-111
A,BEX1,7.510597156826849,7.510597156826849,7.510597156826849,0.8755434782605881,1.0,3.34286766062117e-100,4.8820619664532816e-99
A,SIT1,7.494340100626191,7.481423334399668,7.471874379133258,0.8812499999997159,1.0,2.9385020011353617e-137,1.696550080593198e-135
A,TRBC2,7.546474759986764,7.495967294622292,7.445459829257819,0.8583152173910309,1.0,1.9381894452526952e-207,1.3815563457256999e-204
A,HCLS1,7.6855753957927035,7.400604305111907,7.396471456032172,0.8730434782605893,1.0,6.818127237324253e-180,2.0380701949891997e-177
A,CD5,7.384281805774136,7.380516939498932,7.376752073223727,0.8799999999997165,1.0,1.2003991750483677e-106,2.1453228458217358e-105
A,CD3G,7.371518211342821,7.371518211342821,7.371518211342821,0.8990217391301424,1.0,1.2264966154056342e-99,1.767547571797249e-98
A,CD96,7.386351861500957,7.338401065465892,7.333932604858292,0.8796195652171079,1.0,1.9517330944105517e-209,1.572672584291772e-206
A,SPNS3,7.40189397115193,7.359084933507285,7.3307908875888685,0.8482065217388617,1.0,2.7164611383973393e-199,1.573255446184934e-196
A,MYEF2,7.283028611596569,7.271976603467854,7.268158145910353,0.8667391304345052,1.0,1.2315119499157577e-136,6.874581616803836e-135
A,GMFG,7.351257614524427,7.289060198506904,7.267646035282579,0.9049456521736179,1.0,1.265752951602055e-230,1.6755856751457773e-227
A,ITK,7.271467288422299,7.255895871963675,7.254729896315509,0.8461413043475583,1.0,1.0259020299415943e-237,2.3766302901134458e-234
A,MAL,7.823980871871128,7.52957086437952,7.238844350366104,0.8221739130432216,1.0,1.3984034407589003e-146,1.162179864017251e-144
A,SATB1,8.356276588530225,7.3650871618901235,7.212031215208965,0.964891304347503,1.0,2.5193425379353654e-132,1.1850501333897493e-130
A,ARPP21,7.206740103743265,7.206740103743265,7.206740103743265,0.8358695652171283,1.0,6.040409962708191e-90,6.482160847647419e-89
A,TAL1,7.192747156649101,7.185966351064267,7.179185545479434,0.8561956521736406,1.0,2.796451271454406e-144,2.098244186796134e-142
A,CABCOCO1,7.181002866704921,7.165053168758976,7.159348552641249,0.6636413043476432,1.0,8.313639365914633e-91,9.187637350536428e-90
A,ARHGAP15,7.9108953360457495,7.52836889291292,7.149289376548574,0.949076086956206,1.0,1.0333993192573678e-119,2.923967875388824e-118
A,MAGED1,8.188904645195729,7.66817205407884,7.147439462961953,0.9662499999996763,1.0,7.80189373813457e-105,1.303809708285374e-103
A,CD1A,7.13860236769153,7.13860236769153,7.13860236769153,0.805271739130186,1.0,8.480605980316591e-89,8.790328335190569e-88
A,PECAM1,7.6237503450120006,7.365591529988959,7.1283845804456,0.8926086956518845,1.0,2.988617128882228e-139,1.8524428511563321e-137
A,ITGA4,9.2382201153782,7.22738604164352,7.083149234642407,0.9863043478257539,1.0,1.2278644230360162e-148,1.1046607452488587e-146
A,CD1C,7.0336179679243545,7.0336179679243545,7.0336179679243545,0.7962499999997554,1.0,1.5084310946846123e-88,1.5556902324869182e-87
A,GLB1L3,7.55647516366569,7.294033634607892,7.031592105550095,0.8639673913040717,1.0,1.3543268228573223e-146,1.130618874234899e-144
