cell_line,context,spearman_rho,rank
Jurkat E6.1,A,0.8993071,1
JURKAT,A,0.85814893,2
MOLT-4,A,0.7379069,3
PF-382,A,0.7181727,4
MOLT-3,A,0.71231866,5
KE-37,A,0.7085452,6
P12-Ichikawa,A,0.69146633,7
CML-T1,A,0.66348183,8
MOLT-16,A,0.6593976,9
RPMI-8402,A,0.65093154,10
MOLT-13,A,0.63799244,11
Peer,A,0.6374344,12
SUP-T1,A,0.62313277,13
Loucy,A,0.61459225,14
HPB-ALL,A,0.5854716,15
WSU-FSCCL,A,0.56821334,16
ALL-SIL,A,0.56317174,17
REH,A,0.56144214,18
Namalwa,A,0.55191934,19
NALM-19,A,0.5499114,20
HuT 78,A,0.5481834,21
NALM-6,A,0.5475998,22
DND-41,A,0.5467866,23
OCI-Ly19,A,0.54648226,24
MHH-PREB-1,A,0.54561585,25
TALL-1 [Human adult T-ALL],A,0.5420322,26
RCH-ACV,A,0.53423184,27
JM-1,A,0.5335363,28
REC-1,A,0.5271042,29
Ramos,A,0.52632415,30
MHH-CALL-2,A,0.5253397,31
Toledo,A,0.52340776,32
NALM-1,A,0.52235043,33
SUP-T11,A,0.52115214,34
697,A,0.51684,35
JeKo-1,A,0.51527745,36
KG-1,A,0.51357615,37
NU-DUL-1,A,0.5115644,38
KOPN-8,A,0.5099933,39
MC116,A,0.5094748,40
CA46,A,0.5074133,41
MHH-CALL-4,A,0.502204,42
MUTZ-5,A,0.49922863,43
Sc-1,A,0.49867398,44
GA-10,A,0.49830362,45
EB2,A,0.49802977,46
MHH-CALL-3,A,0.49551895,47
BJAB,A,0.49448258,48
Ri-1,A,0.49117762,49
U-698-M,A,0.4906414,50
Raji,A,0.4904743,51
EB3 [Human Burkitt lymphoma],A,0.48536682,52
Granta-519,A,0.48517585,53
OCI-Ly7,A,0.48471028,54
Kasumi-2,A,0.48325157,55
Mino,A,0.48280975,56
BL-41,A,0.48240617,57
P31/FUJ,A,0.481058,58
U-937,A,0.4803462,59
SEM,A,0.47881404,60
WSU-NHL,A,0.47822228,61
AMO1,A,0.4766583,62
SUP-B15,A,0.47606817,63
MOLM-6,A,0.476068,64
GDM-1,A,0.47530505,65
MJ,A,0.47320274,66
MEC-1,A,0.47179028,67
Pfeiffer,A,0.47171545,68
Jiyoye,A,0.47095275,69
DoHH2,A,0.46966544,70
BV-173,A,0.46551237,71
OCI-Ly3,A,0.46495184,72
P3HR-1,A,0.46423757,73
SIG-M5,A,0.46339786,74
EB1,A,0.4629769,75
NU-DHL-1,A,0.4624663,76
NCI-H929,A,0.4607749,77
HT,A,0.46050227,78
UKE-1,A,0.4601124,79
SU-DHL-4,A,0.45992598,80
RS4;11,A,0.4595328,81
Daudi,A,0.45944825,82
EM-2,A,0.45923054,83
EoL-1,A,0.45915008,84
Karpas-1106P,A,0.45838723,85
ST486,A,0.4570535,86
TK [Human B-cell lymphoma],A,0.45672798,87
KO52,A,0.4563448,88
SU-DHL-16,A,0.45559382,89
BL-70,A,0.45509723,90
RL,A,0.4548627,91
SKM-1,A,0.45312214,92
SU-DHL-8,A,0.45249078,93
Kasumi-1,A,0.45192507,94
L-1236,A,0.45168528,95
SKNO-1,A,0.45068327,96
L-428,A,0.45048702,97
Farage,A,0.4501308,98
Kasumi-6,A,0.44756284,99
KMS-11,A,0.44726163,100
ML-2,A,0.44590035,101
KMS-28BM,A,0.44524458,102
U-2932,A,0.44465,103
SU-DHL-6,A,0.44446683,104
TMD8,A,0.4443145,105
COR-L26,A,0.4425487,106
HL-60,A,0.44237688,107
NB4,A,0.44198924,108
Ci-1,A,0.4418947,109
KMS-26,A,0.4406952,110
OCI-Ly10,A,0.44023058,111
AML-193,A,0.4397364,112
HMC-1,A,0.43856126,113
KCL-22,A,0.43842956,114
HDLM-2,A,0.43770298,115
JJN-3,A,0.43580475,116
SU-DHL-1,A,0.43543792,117
HH [Human lymphoma],A,0.4341907,118
BDCM,A,0.43391412,119
KMS-12-BM,A,0.43298665,120
DB,A,0.4328224,121
U-266/70,A,0.4322142,122
KE-97,A,0.43076575,123
PLB-985,A,0.42967615,124
WSU-DLCL2,A,0.42942104,125
HNT-34,A,0.4293281,126
JURL-MK1,A,0.4287631,127
Karpas-422,A,0.42847726,128
CMK,A,0.42800984,129
