cell_line,context,spearman_rho,rank
Jurkat E6.1,A,0.9064509,1
JURKAT,A,0.89830744,2
MOLT-4,A,0.8706654,3
PF-382,A,0.8600883,4
P12-Ichikawa,A,0.8574168,5
MOLT-3,A,0.85577065,6
KE-37,A,0.8556302,7
RPMI-8402,A,0.8472211,8
MOLT-13,A,0.8464685,9
SUP-T1,A,0.8458074,10
Peer,A,0.8417679,11
MOLT-16,A,0.8390274,12
CML-T1,A,0.8380042,13
ALL-SIL,A,0.8294574,14
DND-41,A,0.8292231,15
TALL-1 [Human adult T-ALL],A,0.82838327,16
Loucy,A,0.8278426,17
HPB-ALL,A,0.82630527,18
REH,A,0.820674,19
HuT 78,A,0.8185709,20
SUP-T11,A,0.8173543,21
WSU-FSCCL,A,0.8151186,22
NALM-19,A,0.8142549,23
JM-1,A,0.8140013,24
Toledo,A,0.81307304,25
NALM-6,A,0.8128342,26
OCI-Ly19,A,0.8110742,27
Namalwa,A,0.80989397,28
RCH-ACV,A,0.8093514,29
MHH-CALL-2,A,0.80599666,30
ST486,A,0.80489707,31
697,A,0.8048616,32
NALM-1,A,0.8043679,33
MHH-PREB-1,A,0.8039571,34
SUP-B15,A,0.80331177,35
SEM,A,0.80268013,36
WSU-NHL,A,0.80169624,37
GA-10,A,0.80108994,38
REC-1,A,0.80026746,39
MHH-CALL-4,A,0.7983626,40
KG-1,A,0.798295,41
BL-41,A,0.79824984,42
MJ,A,0.7982396,43
NU-DUL-1,A,0.7975649,44
U-698-M,A,0.79755014,45
MUTZ-5,A,0.79751825,46
KOPN-8,A,0.79701173,47
SU-DHL-5,A,0.79679024,48
MC116,A,0.79665023,49
WSU-DLCL2,A,0.79608154,50
CA46,A,0.7958587,51
TK [Human B-cell lymphoma],A,0.7955833,52
BL-70,A,0.7954765,53
EB2,A,0.7954709,54
DoHH2,A,0.79520714,55
MHH-CALL-3,A,0.7948535,56
Mino,A,0.794444,57
SKNO-1,A,0.7941847,58
JeKo-1,A,0.79409134,59
SU-DHL-8,A,0.7940419,60
