cell_id,context,ntc_id,total_counts,n_genes_by_counts,pct_counts_mt,good_turing_unseen_pct
A_ctrl_000000,A,non-targeting-11,16080.0,5574,0.27363184,14.154228855721392
A_ctrl_000001,A,non-targeting-11,26280.0,6881,0.20928462,8.367579908675799
A_ctrl_000002,A,non-targeting-11,26603.0,6942,0.17291284,8.484005563282336
A_ctrl_000003,A,non-targeting-11,8049.0,4152,0.59634733,28.88557584793142
A_ctrl_000004,A,non-targeting-11,20817.0,6059,0.024018832,10.472210212806841
A_ctrl_000005,A,non-targeting-11,31863.0,6844,1.0639299,6.141920095408468
A_ctrl_000006,A,non-targeting-11,21623.0,6471,0.40697405,10.511954862877491
A_ctrl_000007,A,non-targeting-11,18563.0,5854,0.12390239,11.93233852286807
A_ctrl_000008,A,non-targeting-11,26463.0,6473,0.05290405,7.810905792993991
A_ctrl_000009,A,non-targeting-11,7569.0,3784,0.29065928,27.744748315497425
A_ctrl_000010,A,non-targeting-11,7131.0,3597,0.028046558,29.841536951339222
A_ctrl_000011,A,non-targeting-11,6484.0,3576,0.09253547,33.42072794571252
A_ctrl_000012,A,non-targeting-11,6429.0,3434,0.17109971,32.04230829055841
A_ctrl_000013,A,non-targeting-11,3331.0,2205,0.5403783,47.072951065746025
A_ctrl_000014,A,non-targeting-11,15525.0,5562,0.58615136,15.059581320450885
A_ctrl_000015,A,non-targeting-11,9263.0,4336,0.15113893,25.024290186764546
A_ctrl_000016,A,non-targeting-11,15461.0,5468,0.14229351,15.296552616260268
A_ctrl_000017,A,non-targeting-11,16130.0,5681,0.7687539,14.941103533787972
A_ctrl_000018,A,non-targeting-11,7947.0,3888,0.85566884,26.86548383037624
A_ctrl_000019,A,non-targeting-11,6229.0,3465,0.24080913,33.93803178680366
A_ctrl_000020,A,non-targeting-11,15066.0,5383,0.4712598,15.518385769281826
A_ctrl_000021,A,non-targeting-11,16075.0,5763,0.41679627,14.73094867807154
A_ctrl_000022,A,non-targeting-11,5502.0,3227,0.27262813,37.56815703380589
A_ctrl_000023,A,non-targeting-11,9725.0,4334,0.2570694,23.403598971722364
A_ctrl_000024,A,non-targeting-11,31190.0,7167,0.25008017,6.697659506252004
A_ctrl_000025,A,non-targeting-11,18925.0,5971,0.14266843,11.920739762219286
A_ctrl_000026,A,non-targeting-11,18844.0,5873,0.3290172,12.125875610273827
A_ctrl_000027,A,non-targeting-11,28955.0,6995,0.062165428,7.4805733034018305
A_ctrl_000028,A,non-targeting-11,10187.0,4554,0.04908216,23.176597624423284
A_ctrl_000029,A,non-targeting-11,14826.0,5140,0.11466344,14.886011061648455
A_ctrl_000030,A,non-targeting-11,32790.0,7098,0.14028667,5.971332723391278
A_ctrl_000031,A,non-targeting-11,41088.0,7565,0.08031542,4.44898753894081
A_ctrl_000032,A,non-targeting-11,27637.0,6692,0.8720194,7.059376922241922
A_ctrl_000033,A,non-targeting-11,16766.0,5659,1.9384468,13.801741619945126
A_ctrl_000034,A,non-targeting-11,16642.0,5817,0.11416897,14.577574810719865
A_ctrl_000035,A,non-targeting-11,26040.0,6706,0.26497698,8.229646697388633
A_ctrl_000036,A,non-targeting-11,12862.0,5076,0.20992069,18.776240087078214
A_ctrl_000037,A,non-targeting-11,17416.0,5896,0.12632063,13.361276986678917
A_ctrl_000038,A,non-targeting-11,15044.0,5310,0.3988301,15.3483116192502
A_ctrl_000039,A,non-targeting-11,11847.0,5026,0.7934499,20.486199037731073
A_ctrl_000040,A,non-targeting-11,29720.0,6984,0.2792732,7.086137281292059
A_ctrl_000041,A,non-targeting-11,18866.0,6160,0.7102725,12.694794869076645
A_ctrl_000042,A,non-targeting-11,52146.0,8055,0.29916003,3.2044643884478194
A_ctrl_000043,A,non-targeting-11,20309.0,6161,0.25604412,11.521985326702447
A_ctrl_000044,A,non-targeting-11,18719.0,5985,0.09081682,12.260270313585128
A_ctrl_000045,A,non-targeting-11,16723.0,5482,2.1527238,14.190037672666387
A_ctrl_000046,A,non-targeting-11,24460.0,6409,0.29026982,8.769419460343418
A_ctrl_000047,A,non-targeting-11,39972.0,7968,0.23766637,5.073551486040228
A_ctrl_000048,A,non-targeting-11,17851.0,5625,0.14004818,12.537112766791777
A_ctrl_000049,A,non-targeting-11,24330.0,6760,0.5384299,9.457459926017263
A_ctrl_000050,A,non-targeting-11,46156.0,8236,0.29681948,4.125140826761418
A_ctrl_000051,A,non-targeting-11,17947.0,6029,1.5100017,13.194405750264668
A_ctrl_000052,A,non-targeting-11,18605.0,5917,0.53211504,12.292394517602794
